"","comparison","Orthogroup","Protein_ofav","Protein_ssid","lpv_ssid","lpv_ofav","annot_ofav","annot_ssid","KOG_ofav","KOG_ssid","rel_class","abs_ofav","abs_ssid","delta_log10p","p_ofav","p_ssid","p_ratio","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","site"
"MacArthur North vs Emerald Reef.27","MacN_Emerald","OG0002906","Ofaveolata006587","Ssiderea028132",1.18491628890637,-2.84108123178844,"Acid sphingomyelinase-like phosphodiesterase 3b","Acid sphingomyelinase-like phosphodiesterase 3b","Lipid transport and metabolism","Lipid transport and metabolism","Inverse",2.84108123178844,1.18491628890637,1.65616494288207,0.00144184563901627,0.0653256456946854,45.3069620817768,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.28","MacN_Emerald","OG0003092","Ofaveolata032692","Ssiderea031958",1.31894891675639,-2.13625031141636,"metanephric macula densa development","POU domain, class 3, transcription factor","Transcription","Transcription","Inverse",2.13625031141636,1.31894891675639,0.81730139465997,0.00730717803139177,0.0479789879890051,6.56600780532328,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.29","MacN_Emerald","OG0003125","Ofaveolata001436","Ssiderea026474",1.0333216877199,-2.61593015333086,"bile acid:sodium symporter activity","Hermansky-Pudlak Syndrome 1","Translation, ribosomal structure and biogenesis","Function Unknown","Inverse",2.61593015333086,1.0333216877199,1.58260846561096,0.00242141844706394,0.0926143562350168,38.247976654888,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.30","MacN_Emerald","OG0003157","Ofaveolata031730","Ssiderea007531",-2.00566309897658,3.66944710854419,"hydroxyacid-oxoacid transhydrogenase activity","hydroxyacid-oxoacid transhydrogenase activity","Energy production and conversion","Energy production and conversion","Inverse",3.66944710854419,2.00566309897658,1.66378400956761,0.000214068561874262,0.00987044882146026,46.1088201604208,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.31","MacN_Emerald","OG0003171","Ofaveolata005754","Ssiderea047803",1.12979316335123,-3.05422968803681,NA,"Glycosyl transferases group 1",NA,"","Inverse",3.05422968803681,1.12979316335123,1.92443652468558,0.000882612983914142,0.0741663381049688,84.0304181523161,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.32","MacN_Emerald","OG0003278","Ofaveolata007122","Ssiderea027956",-1.90657418762001,2.25737122058417,NA,"Kinetochore associated 1",NA,"Cell cycle control, cell division, chromosome partitioning","Inverse",2.25737122058417,1.90657418762001,0.35079703296416,0.00552877325900731,0.0124001178411089,2.24283349310935,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.33","MacN_Emerald","OG0003319","Ofaveolata012651","Ssiderea000689",1.37301103936789,-1.74046624321148,"zinc ion binding","zinc ion binding","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",1.74046624321148,1.37301103936789,0.36745520384359,0.0181774834032586,0.042363219757029,2.33053271551521,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.34","MacN_Emerald","OG0003320","Ofaveolata025112","Ssiderea055794",-1.55613355772376,1.01778082689937,"Fatty acid desaturase","Fatty acid desaturase","Lipid transport and metabolism","Lipid transport and metabolism","Inverse",1.01778082689937,1.55613355772376,0.53835273082439,0.0959884929355269,0.0277885855946148,3.45424176443614,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.35","MacN_Emerald","OG0003360","Ofaveolata005157","Ssiderea010361",-1.22582505041913,2.1500706536296,"SH3 domain-containing kinase-binding protein","SH3 domain binding","Signal transduction mechanisms","Signal transduction mechanisms","Inverse",2.1500706536296,1.22582505041913,0.92424560321047,0.00707830620888305,0.0594531609294522,8.39934854115811,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.36","MacN_Emerald","OG0003721","Ofaveolata030407","Ssiderea034147",-1.07403123577171,2.11300086240222,"Ion transport protein","high voltage-gated calcium channel activity","","Inorganic ion transport and metabolism","Inverse",2.11300086240222,1.07403123577171,1.03896962663051,0.00770901938240921,0.084327410476088,10.9387986062806,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
