"","V1","V2","V3","V4"
"73","OG0003286","Metalloendopeptidase activity. It is involved in the biological process described with proteolysis / Metalloendopeptidase activity. It is involved in the biological process described with proteolysis","-1.65532405446318","-28.3516337349333"
"74","OG0003288","aldonic acid metabolic process / aldonic acid metabolic process","-1.46078207644896","-1.05120799748481"
"75","OG0003329","positive regulation of epithelial to mesenchymal transition / positive regulation of epithelial to mesenchymal transition","1.63488235943661","-5.45724095285545"
"76","OG0003338","krueppel associated box / krueppel associated box","-1.71700112433868","-9.77932449861284"
"77","OG0003340","biological adhesion / biological adhesion","1.03292169955958","1.32777298850464"
"78","OG0003392","nitric-oxide synthase activity / nitric-oxide synthase activity","1.03158974479905","1.89115284890348"
"79","OG0003655","nuclear factor of activated T-cells 5 / nuclear factor of activated T-cells 5","1.42770163625942","2.28076591183067"
"80","OG0003656","ATPase activator activity / ATPase activator activity","2.35623815110631","3.41419826318098"
"81","OG0003684","Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome / Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome","-10.0527705896732","-1.01412231303246"
"82","OG0003759","cytoskeletal anchoring at plasma membrane / cytoskeletal anchoring at plasma membrane","1.09476920414494","4.34501161179472"
"83","OG0003790","histone-lysine N-methyltransferase PRDM6 / negative regulation of smooth muscle cell differentiation","1.31592414604871","1.30974937822882"
"84","OG0003815","PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides / PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides","-11.2429496950823","-2.38910105062632"
"85","OG0003817","U4 U6 small nuclear ribonucleoprotein / U4 U6 small nuclear ribonucleoprotein","-1.90303624475727","-2.62488959112232"
"86","OG0003821","negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment / negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment","-1.29371997457659","-21.9055515690872"
"87","OG0003844","purine-rich negative regulatory element binding / purine-rich negative regulatory element binding","-3.41996348721257","-2.89942418889237"
"88","OG0003875","DUF167 / DUF167","1.25257268841438","6.39775425337873"
"89","OG0003896","zinc ion transmembrane transporter activity / zinc ion transmembrane transporter activity","-2.35420886191633","-3.74489192619422"
"90","OG0003901","mitochondrial transport / mitochondrial transport","2.76546654224571","1.50395278877811"
"91","OG0003924","ribosomal protein / ribosomal protein","-2.57365732751704","-1.14262117180815"
"92","OG0003926","positive regulation of DNA N-glycosylase activity / positive regulation of DNA N-glycosylase activity","-4.05850569725623","-1.36867652399665"
"93","OG0003933","arachidonate 5-lipoxygenase activity / arachidonate 5-lipoxygenase activity","1.06042993707295","-3.53141676390034"
"94","OG0003938","myosin light chain kinase activity / protein kinase activity","3.87509268150477","1.81910538954102"
"95","OG0003951","positive regulation of TOR signaling / positive regulation of TOR signaling","-2.06892537845147","-1.58012640108519"
"96","OG0004022","regulation of membrane repolarization during atrial cardiac muscle cell action potential / Calponin homology domain","1.98750444806581","-2.73242482089315"
"97","OG0004023","GTPase activity / EF-hand domain pair","-1.39728074685601","-1.08165444930924"
"98","OG0004033","metalloaminopeptidase activity / metalloaminopeptidase activity","2.35735196702488","-1.13627574222215"
"99","OG0004061","TNFAIP3 interacting protein 1 / NA","1.08980881242284","1.41020375240598"
