site,species,genotype,replicate,sampleID,tank,pH,temp,treatment,time,file,AOI,FvFm,ratio
Star,Ofav,1,3,So1-3,4,low pH,control temp,LC,Initial,LC_Ofav_STAR,1,0.576,1.000
Star,Ofav,2,3,So2-3,4,low pH,control temp,LC,Initial,LC_Ofav_STAR,2,0.614,1.000
Star,Ofav,3,3,So3-3,4,low pH,control temp,LC,Initial,LC_Ofav_STAR,3,0.593,1.000
Star,Ofav,4,3,So4-3,4,low pH,control temp,LC,Initial,LC_Ofav_STAR,4,0.602,1.000
Star,Ofav,5,3,So5-3,4,low pH,control temp,LC,Initial,LC_Ofav_STAR,5,0.632,1.000
Emerald,Ssid,1,2,Es1-2,5,control pH,high temp,CH,Initial,CH_Ssid_EMRL,1,0.46,1.000
Emerald,Ssid,2,2,Es2-2,5,control pH,high temp,CH,Initial,CH_Ssid_EMRL,2,0.498,1.000
Emerald,Ssid,3,2,Es3-2,5,control pH,high temp,CH,Initial,CH_Ssid_EMRL,3,0.581,1.000
Emerald,Ssid,4,2,Es4-2,5,control pH,high temp,CH,Initial,CH_Ssid_EMRL,4,0.447,1.000
Emerald,Ssid,5,2,Es5-2,5,control pH,high temp,CH,Initial,CH_Ssid_EMRL,5,0.553,1.000
MacN,Ssid,1,2,Ms1-2,5,control pH,high temp,CH,Initial,CH_Ssid_MACN,1,0.542,1.000
MacN,Ssid,2,2,Ms2-2,5,control pH,high temp,CH,Initial,CH_Ssid_MACN,2,0.505,1.000
MacN,Ssid,3,2,Ms3-2,5,control pH,high temp,CH,Initial,CH_Ssid_MACN,3,0.475,1.000
MacN,Ssid,4,2,Ms4-2,5,control pH,high temp,CH,Initial,CH_Ssid_MACN,4,0.464,1.000
MacN,Ssid,5,2,Ms5-2,5,control pH,high temp,CH,Initial,CH_Ssid_MACN,5,0.533,1.000
Rainbow,Ssid,1,2,Rs1-2,5,control pH,high temp,CH,Initial,CH_Ssid_RAIN_2,1,0.521,1.000
Rainbow,Ssid,2,2,Rs2-2,5,control pH,high temp,CH,Initial,CH_Ssid_RAIN_2,2,0.53,1.000
Rainbow,Ssid,3,2,Rs3-2,5,control pH,high temp,CH,Initial,CH_Ssid_RAIN_3-2,1,0.292,1.000
Rainbow,Ssid,4,2,Rs4-2,5,control pH,high temp,CH,Initial,CH_Ssid_RAIN_2,3,0.527,1.000
Rainbow,Ssid,5,2,Rs5-2,5,control pH,high temp,CH,Initial,CH_Ssid_RAIN_2,4,0.521,1.000
Star,Ssid,1,2,Ss1-2,5,control pH,high temp,CH,Initial,CH_Ssid_STAR,1,0.494,1.000
Star,Ssid,2,2,Ss2-2,5,control pH,high temp,CH,Initial,CH_Ssid_STAR,2,0.522,1.000
Star,Ssid,3,2,Ss3-2,5,control pH,high temp,CH,Initial,CH_Ssid_STAR,3,0.487,1.000
Star,Ssid,4,2,Ss4-2,5,control pH,high temp,CH,Initial,CH_Ssid_STAR,4,0.487,1.000
Star,Ssid,5,2,Ss5-2,5,control pH,high temp,CH,Initial,CH_Ssid_STAR,5,0.555,1.000
Emerald,Ofav,1,2,Eo1-2,6,control pH,high temp,CH,Initial,CH_Ofav_EMRL,1,0.542,1.000
Emerald,Ofav,2,2,Eo2-2,6,control pH,high temp,CH,Initial,CH_Ofav_EMRL,2,0.599,1.000
Emerald,Ofav,3,2,Eo3-2,6,control pH,high temp,CH,Initial,CH_Ofav_EMRL,3,0.613,1.000
Emerald,Ofav,4,2,Eo4-2,6,control pH,high temp,CH,Initial,CH_Ofav_EMRL,4,0.587,1.000
