site,species,genotype,replicate,sampleID,tank,pH,temp,treatment,time,file,AOI,FvFm,ratio
Rainbow,Ofav,1,4,Ro1-4,8,low pH,high temp,LH,21,(dead),,,
Rainbow,Ofav,2,4,Ro2-4,8,low pH,high temp,LH,21,(dead),,,
Rainbow,Ofav,3,4,Ro3-4,8,low pH,high temp,LH,21,(dead),,,
Rainbow,Ofav,4,4,Ro4-4,8,low pH,high temp,LH,21,(dead),,,
Rainbow,Ofav,5,4,Ro5-4,8,low pH,high temp,LH,21,LH_Ofav_RAIN,1,0.405,0.672
Star,Ofav,1,4,So1-4,8,low pH,high temp,LH,21,(dead),,,
Star,Ofav,2,4,So2-4,8,low pH,high temp,LH,21,(dead),,,
Star,Ofav,3,4,So3-4,8,low pH,high temp,LH,21,(dead),,,
Star,Ofav,4,4,So4-4,8,low pH,high temp,LH,21,(dead),,,
Star,Ofav,5,4,So5-4,8,low pH,high temp,LH,21,LH_Ofav_STAR_MACN,1,0.471,0.733
Emerald,Ofav,1,1,Eo1-1,1,control pH,high temp,CH,7,CC_Ofav_EMRL,1,0.305,0.543
Emerald,Ofav,2,1,Eo2-1,1,control pH,high temp,CH,7,(dead),,,
Emerald,Ofav,3,1,Eo3-1,1,control pH,high temp,CH,7,CC_Ofav_EMRL,2,0.423,0.718
Emerald,Ofav,4,1,Eo4-1,1,control pH,high temp,CH,7,CC_Ofav_EMRL,3,0.287,0.495
Emerald,Ofav,5,1,Eo5-1,1,control pH,high temp,CH,7,CC_Ofav_EMRL,4,0.345,0.584
MacN,Ofav,6,1,CR043,1,control pH,high temp,CH,7,CC_Ofav_MACN,4,0.465,0.757
MacN,Ofav,1,1,Mo1-1,1,control pH,high temp,CH,7,CC_Ofav_MACN,1,0.416,0.747
MacN,Ofav,2,1,Mo2-1,1,control pH,high temp,CH,7,(dead),,,
MacN,Ofav,3,1,Mo3-1,1,control pH,high temp,CH,7,(dead),,,
MacN,Ofav,4,1,Mo4-1,1,control pH,high temp,CH,7,CC_Ofav_MACN,2,0.435,0.747
MacN,Ofav,5,1,Mo5-1,1,control pH,high temp,CH,7,CC_Ofav_MACN,3,0.463,0.772
Rainbow,Ofav,1,1,Ro1-1,1,control pH,high temp,CH,7,(dead),,,
Rainbow,Ofav,2,1,Ro2-1,1,control pH,high temp,CH,7,(dead),,,
Rainbow,Ofav,3,1,Ro3-1,1,control pH,high temp,CH,7,CC_Ofav_RAIN,1,0.312,0.532
Rainbow,Ofav,4,1,Ro4-1,1,control pH,high temp,CH,7,CC_Ofav_RAIN,2,0.379,0.621
Rainbow,Ofav,5,1,Ro5-1,1,control pH,high temp,CH,7,CC_Ofav_RAIN,3,0.385,0.637
Star,Ofav,1,1,So1-1,1,control pH,high temp,CH,7,(dead),,,
Star,Ofav,2,1,So2-1,1,control pH,high temp,CH,7,(dead),,,
Star,Ofav,3,1,So3-1,1,control pH,high temp,CH,7,CC_Ofav_STAR,1,0.455,0.762
Star,Ofav,4,1,So4-1,1,control pH,high temp,CH,7,CC_Ofav_STAR,2,0.427,0.723
Star,Ofav,5,1,So5-1,1,control pH,high temp,CH,7,CC_Ofav_STAR,3,0.499,0.778
Emerald,Ssid,1,4,Es1-4,2,low pH,high temp,LH,24,LH_Ssid_EMRL,1,0.342,0.722
Emerald,Ssid,2,4,Es2-4,2,low pH,high temp,LH,24,LH_Ssid_EMRL_2-4_3-4,1,0.274,0.585
Emerald,Ssid,3,4,Es3-4,2,low pH,high temp,LH,24,LH_Ssid_EMRL_2-4_3-4,2,0.244,0.433
Emerald,Ssid,4,4,Es4-4,2,low pH,high temp,LH,24,LH_Ssid_EMRL,2,0.315,0.619
Emerald,Ssid,5,4,Es5-4,2,low pH,high temp,LH,24,LH_Ssid_EMRL,3,0.35,0.665
MacN,Ssid,1,4,Ms1-4,2,low pH,high temp,LH,24,LH_Ssid_MACN,1,0.286,0.540
MacN,Ssid,2,4,Ms2-4,2,low pH,high temp,LH,24,LH_Ssid_MACN,2,0.347,0.713
MacN,Ssid,3,4,Ms3-4,2,low pH,high temp,LH,24,LH_Ssid_MACN,3,0.318,0.639
MacN,Ssid,4,4,Ms4-4,2,low pH,high temp,LH,24,LH_Ssid_MACN,4,0.208,0.477
MacN,Ssid,5,4,Ms5-4,2,low pH,high temp,LH,24,LH_Ssid_MACN,5,0.33,0.647
Rainbow,Ssid,1,4,Rs1-4,2,low pH,high temp,LH,24,LH_Ssid_RAIN,1,0.26,0.513
Rainbow,Ssid,2,4,Rs2-4,2,low pH,high temp,LH,24,(dead),,,
Rainbow,Ssid,3,4,Rs3-4,2,low pH,high temp,LH,24,(dead),,,
Rainbow,Ssid,4,4,Rs4-4,2,low pH,high temp,LH,24,LH_Ssid_RAIN,3,0.316,0.607
Rainbow,Ssid,5,4,Rs5-4,2,low pH,high temp,LH,24,LH_Ssid_RAIN,4,0.286,0.530
Star,Ssid,1,4,Ss1-4,2,low pH,high temp,LH,24,LH_Ssid_STAR,1,0.256,0.498
Star,Ssid,2,4,Ss2-4,2,low pH,high temp,LH,24,LH_Ssid_STAR,2,0.249,0.478
Star,Ssid,3,4,Ss3-4,2,low pH,high temp,LH,24,LH_Ssid_STAR,3,0.247,0.510
Star,Ssid,4,4,Ss4-4,2,low pH,high temp,LH,24,LH_Ssid_STAR,4,0.232,0.475
Star,Ssid,5,4,Ss5-4,2,low pH,high temp,LH,24,LH_Ssid_STAR,5,0.364,0.652
Emerald,Ssid,1,1,Es1-1,3,control pH,high temp,CH,7,CC_Ssid_EMRL,1,0.336,0.730
Emerald,Ssid,2,1,Es2-1,3,control pH,high temp,CH,7,CC_Ssid_EMRL,2,0.348,0.755
Emerald,Ssid,3,1,Es3-1,3,control pH,high temp,CH,7,CC_Ssid_EMRL,3,0.424,0.778
Emerald,Ssid,4,1,Es4-1,3,control pH,high temp,CH,7,CC_Ssid_EMRL,4,0.361,0.744
Emerald,Ssid,5,1,Es5-1,3,control pH,high temp,CH,7,CC_Ssid_EMRL,5,0.415,0.740
MacN,Ssid,1,1,Ms1-1,3,control pH,high temp,CH,7,CC_Ssid_MACN,1,0.366,0.722
MacN,Ssid,2,1,Ms2-1,3,control pH,high temp,CH,7,CC_Ssid_MACN,2,0.369,0.794
MacN,Ssid,3,1,Ms3-1,3,control pH,high temp,CH,7,(dead),,,
MacN,Ssid,4,1,Ms4-1,3,control pH,high temp,CH,7,CC_Ssid_MACN,3,0.257,0.624
MacN,Ssid,5,1,Ms5-1,3,control pH,high temp,CH,7,CC_Ssid_MACN,4,0.41,0.810
Rainbow,Ssid,1,1,Rs1-1,3,control pH,high temp,CH,7,CC_Ssid_RAIN,1,0.356,0.737
Rainbow,Ssid,2,1,Rs2-1,3,control pH,high temp,CH,7,CC_Ssid_RAIN_2-1_3-1,1,0.469,0.898
Rainbow,Ssid,3,1,Rs3-1,3,control pH,high temp,CH,7,CC_Ssid_RAIN_2-1_3-1,2,0.38,1.141
Rainbow,Ssid,4,1,Rs4-1,3,control pH,high temp,CH,7,CC_Ssid_RAIN,2,0.328,0.630
Rainbow,Ssid,5,1,Rs5-1,3,control pH,high temp,CH,7,CC_Ssid_RAIN,3,0.36,0.665
Star,Ssid,1,1,Ss1-1,3,control pH,high temp,CH,7,CC_Ssid_STAR,1,0.313,0.631
Star,Ssid,2,1,Ss2-1,3,control pH,high temp,CH,7,CC_Ssid_STAR,2,0.366,0.693
Star,Ssid,3,1,Ss3-1,3,control pH,high temp,CH,7,CC_Ssid_STAR,3,0.349,0.718
Star,Ssid,4,1,Ss4-1,3,control pH,high temp,CH,7,CC_Ssid_STAR,4,0.282,0.608
Star,Ssid,5,1,Ss5-1,3,control pH,high temp,CH,7,CC_Ssid_STAR,5,0.415,0.745
Emerald,Ofav,1,3,Eo1-3,4,low pH,high temp,LH,7,LC_Ofav_EMRL,1,0.29,0.497
Emerald,Ofav,2,3,Eo2-3,4,low pH,high temp,LH,7,(dead),,,
Emerald,Ofav,3,3,Eo3-3,4,low pH,high temp,LH,7,(dead),,,
Emerald,Ofav,4,3,Eo4-3,4,low pH,high temp,LH,7,LC_Ofav_EMRL,2,0.237,0.414
Emerald,Ofav,5,3,Eo5-3,4,low pH,high temp,LH,7,LC_Ofav_EMRL,3,0.294,0.503
MacN,Ofav,6,3,CR047,4,low pH,high temp,LH,7,LC_Ofav_MACN,4,0.389,0.644
MacN,Ofav,1,3,Mo1-3,4,low pH,high temp,LH,7,LC_Ofav_MACN,1,0.33,0.610
MacN,Ofav,2,3,Mo2-3,4,low pH,high temp,LH,7,(dead),,,
MacN,Ofav,3,3,Mo3-3,4,low pH,high temp,LH,7,(dead),,,
MacN,Ofav,4,3,Mo4-3,4,low pH,high temp,LH,7,LC_Ofav_MACN,2,0.433,0.723
MacN,Ofav,5,3,Mo5-3,4,low pH,high temp,LH,7,LC_Ofav_MACN,3,0.416,0.679
Rainbow,Ofav,1,3,Ro1-3,4,low pH,high temp,LH,7,(dead),,,
Rainbow,Ofav,2,3,Ro2-3,4,low pH,high temp,LH,7,LC_Ofav_QT,1,0.332,0.611
Rainbow,Ofav,3,3,Ro3-3,4,low pH,high temp,LH,7,(dead),,,
Rainbow,Ofav,4,3,Ro4-3,4,low pH,high temp,LH,7,LC_Ofav_QT,2,0.381,0.636
Rainbow,Ofav,5,3,Ro5-3,4,low pH,high temp,LH,7,LC_Ofav_RAIN,1,0.334,0.580
Star,Ofav,1,3,So1-3,4,low pH,high temp,LH,7,LC_Ofav_STAR,1,0.324,0.563
Star,Ofav,2,3,So2-3,4,low pH,high temp,LH,7,LC_Ofav_STAR,2,0.386,0.629
Star,Ofav,3,3,So3-3,4,low pH,high temp,LH,7,LC_Ofav_STAR,3,0.376,0.634
Star,Ofav,4,3,So4-3,4,low pH,high temp,LH,7,LC_Ofav_STAR,4,0.387,0.643
Star,Ofav,5,3,So5-3,4,low pH,high temp,LH,7,LC_Ofav_STAR,5,0.427,0.676
Emerald,Ssid,1,2,Es1-2,5,control pH,high temp,CH,24,CH_Ssid_EMRL,1,0.325,0.707
Emerald,Ssid,2,2,Es2-2,5,control pH,high temp,CH,24,CH_Ssid_EMRL_2-2_3-2,1,0.281,0.564
Emerald,Ssid,3,2,Es3-2,5,control pH,high temp,CH,24,CH_Ssid_EMRL_2-2_3-2,2,0.236,0.406
Emerald,Ssid,4,2,Es4-2,5,control pH,high temp,CH,24,CH_Ssid_EMRL,2,0.28,0.626
Emerald,Ssid,5,2,Es5-2,5,control pH,high temp,CH,24,CH_Ssid_EMRL,3,0.332,0.600
MacN,Ssid,1,2,Ms1-2,5,control pH,high temp,CH,24,CH_Ssid_MACN_1-2,1,0.311,0.574
MacN,Ssid,2,2,Ms2-2,5,control pH,high temp,CH,24,CH_Ssid_MACN,1,0.376,0.745
MacN,Ssid,3,2,Ms3-2,5,control pH,high temp,CH,24,CH_Ssid_MACN,2,0.326,0.686
MacN,Ssid,4,2,Ms4-2,5,control pH,high temp,CH,24,CH_Ssid_MACN,3,0.357,0.769
MacN,Ssid,5,2,Ms5-2,5,control pH,high temp,CH,24,CH_Ssid_MACN,4,0.369,0.692
Rainbow,Ssid,1,2,Rs1-2,5,control pH,high temp,CH,24,CH_Ssid_RAIN,1,0.284,0.545
Rainbow,Ssid,2,2,Rs2-2,5,control pH,high temp,CH,24,(dead),,,
Rainbow,Ssid,3,2,Rs3-2,5,control pH,high temp,CH,24,(dead),,,
Rainbow,Ssid,4,2,Rs4-2,5,control pH,high temp,CH,24,CH_Ssid_RAIN,3,0.321,0.609
Rainbow,Ssid,5,2,Rs5-2,5,control pH,high temp,CH,24,CH_Ssid_RAIN,4,0.319,0.612
Star,Ssid,1,2,Ss1-2,5,control pH,high temp,CH,24,CH_Ssid_STAR,1,0.271,0.549
Star,Ssid,2,2,Ss2-2,5,control pH,high temp,CH,24,CH_Ssid_STAR,2,0.248,0.475
Star,Ssid,3,2,Ss3-2,5,control pH,high temp,CH,24,CH_Ssid_STAR,3,0.302,0.620
Star,Ssid,4,2,Ss4-2,5,control pH,high temp,CH,24,CH_Ssid_STAR,4,0.228,0.468
Star,Ssid,5,2,Ss5-2,5,control pH,high temp,CH,24,CH_Ssid_STAR,5,0.397,0.715
Emerald,Ofav,1,2,Eo1-2,6,control pH,high temp,CH,24,CH_Ofav_EMRL_1-2_5-2,1,0.282,0.520
Emerald,Ofav,2,2,Eo2-2,6,control pH,high temp,CH,24,CH_Ofav_EMRL,1,0.438,0.731
Emerald,Ofav,3,2,Eo3-2,6,control pH,high temp,CH,24,CH_Ofav_EMRL,2,0.426,0.695
Emerald,Ofav,4,2,Eo4-2,6,control pH,high temp,CH,24,CH_Ofav_EMRL,3,0.274,0.467
Emerald,Ofav,5,2,Eo5-2,6,control pH,high temp,CH,24,CH_Ofav_EMRL_1-2_5-2,2,0.298,0.503
MacN,Ofav,6,2,CR046,6,control pH,high temp,CH,24,CH_Ofav_MACN,6,0.474,0.782
MacN,Ofav,1,2,Mo1-2,6,control pH,high temp,CH,24,CH_Ofav_MACN,1,0.41,0.739
MacN,Ofav,2,2,Mo2-2,6,control pH,high temp,CH,24,CH_Ofav_MACN,2,0.287,0.546
MacN,Ofav,3,2,Mo3-2,6,control pH,high temp,CH,24,CH_Ofav_MACN,3,0.443,0.715
MacN,Ofav,4,2,Mo4-2,6,control pH,high temp,CH,24,CH_Ofav_MACN,4,0.406,0.721
MacN,Ofav,5,2,Mo5-2,6,control pH,high temp,CH,24,CH_Ofav_MACN,5,0.466,0.795
Rainbow,Ofav,1,2,Ro1-2,6,control pH,high temp,CH,24,CH_Ofav_RAIN,1,0.255,0.445
Rainbow,Ofav,2,2,Ro2-2,6,control pH,high temp,CH,24,CH_Ofav_RAIN,2,0.349,0.635
Rainbow,Ofav,3,2,Ro3-2,6,control pH,high temp,CH,24,CH_Ofav_RAIN_3-2_4-2,1,0.337,0.573
Rainbow,Ofav,4,2,Ro4-2,6,control pH,high temp,CH,24,CH_Ofav_RAIN_3-2_4-2,2,0.295,0.480
Rainbow,Ofav,5,2,Ro5-2,6,control pH,high temp,CH,24,CH_Ofav_RAIN,3,0.387,0.689
Star,Ofav,1,2,So1-2,6,control pH,high temp,CH,24,CH_Ofav_STAR,1,0.39,0.679
Star,Ofav,2,2,So2-2,6,control pH,high temp,CH,24,CH_Ofav_STAR,2,0.467,0.762
Star,Ofav,3,2,So3-2,6,control pH,high temp,CH,24,CH_Ofav_STAR,3,0.432,0.692
Star,Ofav,4,2,So4-2,6,control pH,high temp,CH,24,CH_Ofav_STAR,4,0.438,0.754
Star,Ofav,5,2,So5-2,6,control pH,high temp,CH,24,CH_Ofav_STAR,5,0.388,0.630
Emerald,Ssid,1,3,Es1-3,7,low pH,high temp,LH,7,LC_Ssid_EMRL,1,0.29,0.582
Emerald,Ssid,2,3,Es2-3,7,low pH,high temp,LH,7,LC_Ssid_EMRL,2,0.277,0.566
Emerald,Ssid,3,3,Es3-3,7,low pH,high temp,LH,7,LC_Ssid_EMRL,3,0.331,0.615
Emerald,Ssid,4,3,Es4-3,7,low pH,high temp,LH,7,LC_Ssid_EMRL,4,0.307,0.569
Emerald,Ssid,5,3,Es5-3,7,low pH,high temp,LH,7,LC_Ssid_EMRL,5,0.32,0.567
MacN,Ssid,1,3,Ms1-3,7,low pH,high temp,LH,7,LC_Ssid_MACN,1,0.313,0.576
MacN,Ssid,2,3,Ms2-3,7,low pH,high temp,LH,7,LC_Ssid_MACN,2,0.333,0.678
MacN,Ssid,3,3,Ms3-3,7,low pH,high temp,LH,7,LC_Ssid_MACN,3,0.31,0.604
MacN,Ssid,4,3,Ms4-3,7,low pH,high temp,LH,7,LC_Ssid_MACN,4,0.192,0.431
MacN,Ssid,5,3,Ms5-3,7,low pH,high temp,LH,7,LC_Ssid_MACN,5,0.355,0.687
Rainbow,Ssid,1,3,Rs1-3,7,low pH,high temp,LH,7,LC_Ssid_RAIN,1,0.28,0.553
Rainbow,Ssid,2,3,Rs2-3,7,low pH,high temp,LH,7,LC_Ssid_RAIN_2-3,1,0.344,0.645
Rainbow,Ssid,3,3,Rs3-3,7,low pH,high temp,LH,7,LC_Ssid_RAIN_3-3,1,0.239,0.669
Rainbow,Ssid,4,3,Rs4-3,7,low pH,high temp,LH,7,LC_Ssid_RAIN,2,0.275,0.521
Rainbow,Ssid,5,3,Rs5-3,7,low pH,high temp,LH,7,LC_Ssid_RAIN,3,0.27,0.492
Star,Ssid,1,3,Ss1-3,7,low pH,high temp,LH,7,LC_Ssid_STAR,1,0.325,0.642
Star,Ssid,2,3,Ss2-3,7,low pH,high temp,LH,7,LC_Ssid_STAR,2,0.351,0.676
Star,Ssid,3,3,Ss3-3,7,low pH,high temp,LH,7,LC_Ssid_STAR,3,0.29,0.573
Star,Ssid,4,3,Ss4-3,7,low pH,high temp,LH,7,LC_Ssid_STAR,4,0.252,0.504
Star,Ssid,5,3,Ss5-3,7,low pH,high temp,LH,7,LC_Ssid_STAR,5,0.421,0.731
Emerald,Ofav,1,4,Eo1-4,8,low pH,high temp,LH,24,(dead),,,
Emerald,Ofav,2,4,Eo2-4,8,low pH,high temp,LH,24,LH_Ofav_EMRL,1,0.458,0.782
Emerald,Ofav,3,4,Eo3-4,8,low pH,high temp,LH,24,(dead),,,
Emerald,Ofav,4,4,Eo4-4,8,low pH,high temp,LH,24,LH_Ofav_EMRL,2,0.253,0.413
Emerald,Ofav,5,4,Eo5-4,8,low pH,high temp,LH,24,(dead),,,
MacN,Ofav,6,4,CR049,8,low pH,high temp,LH,24,LH_Ofav_RAIN_STAR_MACN,5,0.445,0.722
MacN,Ofav,1,4,Mo1-4,8,low pH,high temp,LH,24,(dead),,,
MacN,Ofav,2,4,Mo2-4,8,low pH,high temp,LH,24,(dead),,,
MacN,Ofav,3,4,Mo3-4,8,low pH,high temp,LH,24,(dead),,,
MacN,Ofav,4,4,Mo4-4,8,low pH,high temp,LH,24,LH_Ofav_RAIN_STAR_MACN,3,0.454,0.771
MacN,Ofav,5,4,Mo5-4,8,low pH,high temp,LH,24,LH_Ofav_RAIN_STAR_MACN,4,0.482,0.777
Rainbow,Ofav,1,4,Ro1-4,8,low pH,high temp,LH,24,(dead),,,
Rainbow,Ofav,2,4,Ro2-4,8,low pH,high temp,LH,24,(dead),,,
Rainbow,Ofav,3,4,Ro3-4,8,low pH,high temp,LH,24,(dead),,,
Rainbow,Ofav,4,4,Ro4-4,8,low pH,high temp,LH,24,(dead),,,
Rainbow,Ofav,5,4,Ro5-4,8,low pH,high temp,LH,24,LH_Ofav_RAIN_STAR_MACN,2,0.45,0.746
Star,Ofav,1,4,So1-4,8,low pH,high temp,LH,24,(dead),,,
Star,Ofav,2,4,So2-4,8,low pH,high temp,LH,24,(dead),,,
Star,Ofav,3,4,So3-4,8,low pH,high temp,LH,24,(dead),,,
Star,Ofav,4,4,So4-4,8,low pH,high temp,LH,24,(dead),,,
Star,Ofav,5,4,So5-4,8,low pH,high temp,LH,24,LH_Ofav_RAIN_STAR_MACN,1,0.414,0.644
Emerald,Ofav,1,1,Eo1-1,1,control pH,high temp,CH,10,CC_Ofav_EMRL,1,0.311,0.553
Emerald,Ofav,2,1,Eo2-1,1,control pH,high temp,CH,10,(dead),,,
Emerald,Ofav,3,1,Eo3-1,1,control pH,high temp,CH,10,CC_Ofav_EMRL,2,0.417,0.708
Emerald,Ofav,4,1,Eo4-1,1,control pH,high temp,CH,10,CC_Ofav_EMRL,3,0.27,0.466
Emerald,Ofav,5,1,Eo5-1,1,control pH,high temp,CH,10,CC_Ofav_EMRL,4,0.363,0.614
MacN,Ofav,6,1,CR043,1,control pH,high temp,CH,10,CC_Ofav_MACN,4,0.489,0.796
MacN,Ofav,1,1,Mo1-1,1,control pH,high temp,CH,10,CC_Ofav_MACN,1,0.428,0.768
MacN,Ofav,2,1,Mo2-1,1,control pH,high temp,CH,10,(dead),,,
MacN,Ofav,3,1,Mo3-1,1,control pH,high temp,CH,10,(dead),,,
MacN,Ofav,4,1,Mo4-1,1,control pH,high temp,CH,10,CC_Ofav_MACN,2,0.419,0.720
MacN,Ofav,5,1,Mo5-1,1,control pH,high temp,CH,10,CC_Ofav_MACN,3,0.47,0.783
Rainbow,Ofav,1,1,Ro1-1,1,control pH,high temp,CH,10,(dead),,,
Rainbow,Ofav,2,1,Ro2-1,1,control pH,high temp,CH,10,(dead),,,
Rainbow,Ofav,3,1,Ro3-1,1,control pH,high temp,CH,10,CC_Ofav_RAIN,1,0.32,0.546
Rainbow,Ofav,4,1,Ro4-1,1,control pH,high temp,CH,10,CC_Ofav_RAIN,2,0.375,0.615
Rainbow,Ofav,5,1,Ro5-1,1,control pH,high temp,CH,10,CC_Ofav_RAIN,3,0.402,0.666
Star,Ofav,1,1,So1-1,1,control pH,high temp,CH,10,(dead),,,
Star,Ofav,2,1,So2-1,1,control pH,high temp,CH,10,(dead),,,
Star,Ofav,3,1,So3-1,1,control pH,high temp,CH,10,CC_Ofav_STAR,1,0.427,0.715
Star,Ofav,4,1,So4-1,1,control pH,high temp,CH,10,CC_Ofav_STAR,2,0.427,0.723
Star,Ofav,5,1,So5-1,1,control pH,high temp,CH,10,CC_Ofav_STAR,3,0.463,0.722
Emerald,Ssid,1,4,Es1-4,2,low pH,high temp,LH,28,(dead),,,
Emerald,Ssid,2,4,Es2-4,2,low pH,high temp,LH,28,LH_Ssid_EMRL_2-4,1,0.284,0.607
Emerald,Ssid,3,4,Es3-4,2,low pH,high temp,LH,28,(dead),,,
Emerald,Ssid,4,4,Es4-4,2,low pH,high temp,LH,28,LH_Ssid_EMRL,1,0.33,0.648
Emerald,Ssid,5,4,Es5-4,2,low pH,high temp,LH,28,(dead),,,
MacN,Ssid,1,4,Ms1-4,2,low pH,high temp,LH,28,(dead),,,
MacN,Ssid,2,4,Ms2-4,2,low pH,high temp,LH,28,LH_Ssid_MACN,1,0.343,0.704
MacN,Ssid,3,4,Ms3-4,2,low pH,high temp,LH,28,LH_Ssid_MACN_3-4,1,0.341,0.685
MacN,Ssid,4,4,Ms4-4,2,low pH,high temp,LH,28,LH_Ssid_MACN,2,0.213,0.489
MacN,Ssid,5,4,Ms5-4,2,low pH,high temp,LH,28,LH_Ssid_MACN,3,0.359,0.704
Rainbow,Ssid,1,4,Rs1-4,2,low pH,high temp,LH,28,(dead),,,
Rainbow,Ssid,2,4,Rs2-4,2,low pH,high temp,LH,28,(dead),,,
Rainbow,Ssid,3,4,Rs3-4,2,low pH,high temp,LH,28,(dead),,,
Rainbow,Ssid,4,4,Rs4-4,2,low pH,high temp,LH,28,LH_Ssid_RAIN,1,0.35,0.672
Rainbow,Ssid,5,4,Rs5-4,2,low pH,high temp,LH,28,LH_Ssid_RAIN,2,0.338,0.626
Star,Ssid,1,4,Ss1-4,2,low pH,high temp,LH,28,LH_Ssid_STAR,1,0.248,0.482
Star,Ssid,2,4,Ss2-4,2,low pH,high temp,LH,28,LH_Ssid_STAR,2,0.292,0.560
Star,Ssid,3,4,Ss3-4,2,low pH,high temp,LH,28,LH_Ssid_STAR,3,0.259,0.535
Star,Ssid,4,4,Ss4-4,2,low pH,high temp,LH,28,LH_Ssid_STAR,4,0.254,0.520
Star,Ssid,5,4,Ss5-4,2,low pH,high temp,LH,28,LH_Ssid_STAR_5-4,1,0.362,0.649
Emerald,Ssid,1,1,Es1-1,3,control pH,high temp,CH,10,CC_Ssid_EMRL,1,0.36,0.783
Emerald,Ssid,2,1,Es2-1,3,control pH,high temp,CH,10,CC_Ssid_EMRL,2,0.358,0.777
Emerald,Ssid,3,1,Es3-1,3,control pH,high temp,CH,10,CC_Ssid_EMRL,3,0.432,0.793
Emerald,Ssid,4,1,Es4-1,3,control pH,high temp,CH,10,CC_Ssid_EMRL,4,0.373,0.769
Emerald,Ssid,5,1,Es5-1,3,control pH,high temp,CH,10,CC_Ssid_EMRL,5,0.408,0.727
MacN,Ssid,1,1,Ms1-1,3,control pH,high temp,CH,10,CC_Ssid_MACN,1,0.389,0.767
MacN,Ssid,2,1,Ms2-1,3,control pH,high temp,CH,10,CC_Ssid_MACN,2,0.398,0.856
MacN,Ssid,3,1,Ms3-1,3,control pH,high temp,CH,10,(dead),,,
MacN,Ssid,4,1,Ms4-1,3,control pH,high temp,CH,10,CC_Ssid_MACN,3,0.305,0.740
MacN,Ssid,5,1,Ms5-1,3,control pH,high temp,CH,10,CC_Ssid_MACN,4,0.417,0.824
Rainbow,Ssid,1,1,Rs1-1,3,control pH,high temp,CH,10,CC_Ssid_RAIN,1,0.365,0.756
Rainbow,Ssid,2,1,Rs2-1,3,control pH,high temp,CH,10,CC_Ssid_RAIN_2-1,1,0.464,0.889
Rainbow,Ssid,3,1,Rs3-1,3,control pH,high temp,CH,10,CC_Ssid_RAIN_3-1,1,0.399,1.198
Rainbow,Ssid,4,1,Rs4-1,3,control pH,high temp,CH,10,CC_Ssid_RAIN,2,0.331,0.635
Rainbow,Ssid,5,1,Rs5-1,3,control pH,high temp,CH,10,CC_Ssid_RAIN,3,0.362,0.669
Star,Ssid,1,1,Ss1-1,3,control pH,high temp,CH,10,CC_Ssid_STAR,1,0.344,0.694
Star,Ssid,2,1,Ss2-1,3,control pH,high temp,CH,10,CC_Ssid_STAR,2,0.398,0.754
Star,Ssid,3,1,Ss3-1,3,control pH,high temp,CH,10,CC_Ssid_STAR,3,0.386,0.794
Star,Ssid,4,1,Ss4-1,3,control pH,high temp,CH,10,CC_Ssid_STAR,4,0.302,0.651
Star,Ssid,5,1,Ss5-1,3,control pH,high temp,CH,10,CC_Ssid_STAR,5,0.447,0.803
Emerald,Ofav,1,3,Eo1-3,4,low pH,high temp,LH,10,LC_Ofav_QT,1,0.295,0.505
Emerald,Ofav,2,3,Eo2-3,4,low pH,high temp,LH,10,(dead),,,
Emerald,Ofav,3,3,Eo3-3,4,low pH,high temp,LH,10,(dead),,,
Emerald,Ofav,4,3,Eo4-3,4,low pH,high temp,LH,10,LC_Ofav_EMRL,1,0.229,0.400
Emerald,Ofav,5,3,Eo5-3,4,low pH,high temp,LH,10,LC_Ofav_EMRL,2,0.284,0.485
MacN,Ofav,6,3,CR047,4,low pH,high temp,LH,10,LC_Ofav_MACN,4,0.376,0.623
MacN,Ofav,1,3,Mo1-3,4,low pH,high temp,LH,10,LC_Ofav_MACN,1,0.334,0.617
MacN,Ofav,2,3,Mo2-3,4,low pH,high temp,LH,10,(dead),,,
MacN,Ofav,3,3,Mo3-3,4,low pH,high temp,LH,10,(dead),,,
MacN,Ofav,4,3,Mo4-3,4,low pH,high temp,LH,10,LC_Ofav_MACN,2,0.415,0.693
MacN,Ofav,5,3,Mo5-3,4,low pH,high temp,LH,10,LC_Ofav_MACN,3,0.408,0.666
Rainbow,Ofav,1,3,Ro1-3,4,low pH,high temp,LH,10,(dead),,,
Rainbow,Ofav,2,3,Ro2-3,4,low pH,high temp,LH,10,(dead),,,
Rainbow,Ofav,3,3,Ro3-3,4,low pH,high temp,LH,10,(dead),,,
Rainbow,Ofav,4,3,Ro4-3,4,low pH,high temp,LH,10,(dead),,,
Rainbow,Ofav,5,3,Ro5-3,4,low pH,high temp,LH,10,LC_Ofav_RAIN,1,0.324,0.563
Star,Ofav,1,3,So1-3,4,low pH,high temp,LH,10,LC_Ofav_QT,2,0.329,0.571
Star,Ofav,2,3,So2-3,4,low pH,high temp,LH,10,LC_Ofav_STAR,1,0.394,0.642
Star,Ofav,3,3,So3-3,4,low pH,high temp,LH,10,LC_Ofav_QT,3,0.36,0.607
Star,Ofav,4,3,So4-3,4,low pH,high temp,LH,10,LC_Ofav_STAR,2,0.388,0.645
Star,Ofav,5,3,So5-3,4,low pH,high temp,LH,10,LC_Ofav_STAR,3,0.391,0.619
Emerald,Ssid,1,2,Es1-2,5,control pH,high temp,CH,28,CH_Ssid_EMRL,1,0.345,0.750
