site,species,geno,rep,sample,tank,pH,temp,treat,ramp,start,end,days,status
Rainbow,Ssid,3,2,Rs3-2,5,control,high,CH,4/5/21,4/19/21,4/26/21,7,1
Rainbow,Ssid,4,2,Rs4-2,5,control,high,CH,4/5/21,4/19/21,5/10/21,21,1
Rainbow,Ssid,5,2,Rs5-2,5,control,high,CH,4/5/21,4/19/21,5/10/21,21,1
Star,Ssid,1,2,Ss1-2,5,control,high,CH,4/5/21,4/19/21,5/10/21,21,1
Star,Ssid,2,2,Ss2-2,5,control,high,CH,4/5/21,4/19/21,5/10/21,21,1
Star,Ssid,3,2,Ss3-2,5,control,high,CH,4/5/21,4/19/21,5/10/21,21,1
Star,Ssid,4,2,Ss4-2,5,control,high,CH,4/5/21,4/19/21,5/10/21,21,1
Star,Ssid,5,2,Ss5-2,5,control,high,CH,4/5/21,4/19/21,5/19/21,30,1
Emerald,Ssid,1,1,Es1-1,3,control,high,CH,4/23/21,5/7/21,6/1/21,25,1
Emerald,Ssid,2,1,Es2-1,3,control,high,CH,4/23/21,5/7/21,5/17/21,10,1
Emerald,Ssid,3,1,Es3-1,3,control,high,CH,4/23/21,5/7/21,5/19/21,12,1
Emerald,Ssid,4,1,Es4-1,3,control,high,CH,4/23/21,5/7/21,5/24/21,17,1
Emerald,Ssid,5,1,Es5-1,3,control,high,CH,4/23/21,5/7/21,5/17/21,10,1
MacN,Ssid,1,1,Ms1-1,3,control,high,CH,4/23/21,5/7/21,5/26/21,19,1
MacN,Ssid,2,1,Ms2-1,3,control,high,CH,4/23/21,5/7/21,6/1/21,25,1
MacN,Ssid,4,1,Ms4-1,3,control,high,CH,4/23/21,5/7/21,5/25/21,18,1
MacN,Ssid,5,1,Ms5-1,3,control,high,CH,4/23/21,5/7/21,6/1/21,25,1
Rainbow,Ssid,1,1,Rs1-1,3,control,high,CH,4/23/21,5/7/21,6/1/21,25,1
Rainbow,Ssid,2,1,Rs2-1,3,control,high,CH,4/23/21,5/7/21,5/24/21,17,1
Rainbow,Ssid,3,1,Rs3-1,3,control,high,CH,4/23/21,5/7/21,5/12/21,5,1
Rainbow,Ssid,4,1,Rs4-1,3,control,high,CH,4/23/21,5/7/21,5/26/21,19,1
Rainbow,Ssid,5,1,Rs5-1,3,control,high,CH,4/23/21,5/7/21,6/1/21,25,1
Star,Ssid,1,1,Ss1-1,3,control,high,CH,4/23/21,5/7/21,5/26/21,19,1
Star,Ssid,2,1,Ss2-1,3,control,high,CH,4/23/21,5/7/21,5/19/21,12,1
Star,Ssid,3,1,Ss3-1,3,control,high,CH,4/23/21,5/7/21,5/26/21,19,1
Star,Ssid,4,1,Ss4-1,3,control,high,CH,4/23/21,5/7/21,5/18/21,11,1
Star,Ssid,5,1,Ss5-1,3,control,high,CH,4/23/21,5/7/21,6/3/21,27,1
Emerald,Ofav,4,3,Eo4-3,4,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Emerald,Ofav,5,3,Eo5-3,4,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
MacN,Ofav,6,3,CR047,4,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
MacN,Ofav,1,3,Mo1-3,4,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
MacN,Ofav,4,3,Mo4-3,4,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Rainbow,Ofav,5,3,Ro5-3,4,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Star,Ofav,2,3,So2-3,4,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Star,Ofav,3,3,So3-3,4,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Star,Ofav,4,3,So4-3,4,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
