site,species,genotype,replicate,sampleID,tank,pH,temp,treatment,bw1,temp1,salinity1,density1,mass1,bw2,temp2,salinity2,density2,mass2,deltamonth,deltayear,percentmonth,percentyear,surfacearea,growth,growthadj
Emerald,Ssid,23,4,Es2-4,2,low pH,high temp,low pH-high temp,24.2917,22.87,33.44305,1022.819123,37.31931348,24.5454,22.84,35.23362,1024.185643,37.73611094,0.416797455,5.001569459,1.116841164,13.40209396,19.859,0.251854044,0.226585725
Emerald,Ssid,24,4,Es3-4,2,low pH,high temp,low pH-high temp,25.5904,22.87,33.44305,1022.819123,39.31450494,25.8631,22.83,35.23362,1024.188515,39.76200353,0.447498593,5.369983119,1.138253156,13.65903787,9.4389,0.568920438,0.543652118
Emerald,Ssid,25,4,Es4-4,2,low pH,high temp,low pH-high temp,24.3113,22.86,33.44305,1022.821973,37.34948074,24.6228,22.83,35.23362,1024.188515,37.85516279,0.505682041,6.068184497,1.353919871,16.24703845,14.601,0.415600609,0.39033229
Emerald,Ssid,26,4,Es5-4,2,low pH,high temp,low pH-high temp,21.9038,22.86,33.44305,1022.821973,33.65083547,22.0864,22.83,35.23362,1024.188515,33.95569421,0.30485874,3.658304876,0.905947016,10.87136419,8.7558,0.417815034,0.392546715
MacN,Ssid,37,4,Ms1-4,2,low pH,high temp,low pH-high temp,19.243,22.88,33.44305,1022.816273,29.56295673,19.4971,22.85,35.23362,1024.18277,29.97480666,0.411849929,4.942199153,1.393128344,16.71754012,11.119,0.444482341,0.419214022
MacN,Ssid,38,4,Ms2-4,2,low pH,high temp,low pH-high temp,18.2554,22.88,33.44305,1022.816273,28.04571014,18.4903,22.85,35.23362,1024.18277,28.42695414,0.381243997,4.574927967,1.359366532,16.31239838,8.5849,0.532904049,0.507635729
MacN,Ssid,39,4,Ms3-4,2,low pH,high temp,low pH-high temp,18.4304,22.88,33.44305,1022.816273,28.31456206,18.6412,22.85,35.23362,1024.18277,28.65894753,0.344385471,4.13262565,1.216283939,14.59540727,8.9728,0.460572581,0.435304261
MacN,Ssid,40,4,Ms4-4,2,low pH,high temp,low pH-high temp,17.9977,22.88,33.44305,1022.816273,27.64980649,18.2801,22.85,35.23362,1024.18277,28.10379304,0.453986544,5.447838527,1.641915809,19.70298971,13.669,0.398554285,0.373285966
MacN,Ssid,41,4,Ms5-4,2,low pH,high temp,low pH-high temp,17.8094,22.88,33.44305,1022.816273,27.36052183,18.0238,22.86,35.23362,1024.179896,27.70971609,0.349194262,4.190331139,1.276270474,15.31524569,11.634,0.360179744,0.334911425
Rainbow,Ssid,27,4,Rs1-4,2,low pH,high temp,low pH-high temp,22.2087,22.87,33.44305,1022.819123,34.11920274,22.4425,22.84,35.23362,1024.185643,34.50311136,0.38390862,4.606903438,1.125198097,13.50237716,8.7612,0.525830187,0.500561868
