gene,Fish_kME
Ofaveolata000583,0
Ofaveolata000584,0
Ofaveolata000586,0
Ofaveolata000588,0
Ofaveolata000589,0.395816515536564
Ofaveolata000590,0
Ofaveolata000591,0.388598528318761
Ofaveolata000592,0
Ofaveolata000593,0.729123899945607
Ofaveolata000594,0.530284472807235
Ofaveolata000595,0
Ofaveolata000597,0
Ofaveolata000598,0
Ofaveolata000600,0.533031512383401
Ofaveolata000601,0
Ofaveolata000603,0.68796057151024
Ofaveolata000604,0.748114961924619
Ofaveolata000606,0
Ofaveolata000613,0
Ofaveolata000615,0
Ofaveolata000617,0
Ofaveolata000618,0
Ofaveolata000619,0
Ofaveolata000623,0
Ofaveolata000626,0
Ofaveolata000628,0
Ofaveolata000629,0
Ofaveolata000632,0.736694859973469
Ofaveolata000633,0
Ofaveolata000635,0.725428898938857
Ofaveolata000637,0.33830649583678
Ofaveolata000638,0
Ofaveolata000642,0
Ofaveolata000643,0
Ofaveolata000649,0
Ofaveolata000650,0.425132146448634
Ofaveolata000652,0
Ofaveolata000653,0.439160795396961
Ofaveolata000657,0
Ofaveolata000658,0
Ofaveolata000659,0
Ofaveolata000663,0
Ofaveolata000666,0.619755624032753
Ofaveolata000667,0
Ofaveolata000677,0
Ofaveolata000682,0.608184549703927
Ofaveolata000684,0
Ofaveolata000688,0
Ofaveolata000690,0
Ofaveolata000693,0.409688779774475
Ofaveolata000696,0
Ofaveolata000698,0
Ofaveolata000707,0
Ofaveolata000708,0
Ofaveolata000709,0.388176755328215
Ofaveolata000710,0
Ofaveolata000711,0
Ofaveolata000712,0
Ofaveolata000715,0.353858401758992
Ofaveolata000718,0
Ofaveolata000720,0
Ofaveolata000721,0
Ofaveolata000722,0.46394307471652
Ofaveolata000723,0.438312640406054
Ofaveolata000725,0
Ofaveolata000726,0
Ofaveolata000727,0
Ofaveolata000728,0
Ofaveolata000730,0
Ofaveolata000732,0.255692696017977
Ofaveolata000733,0
Ofaveolata000734,0
Ofaveolata000738,0
Ofaveolata000740,0
Ofaveolata000741,0
Ofaveolata000742,0
Ofaveolata000749,0
Ofaveolata000750,0.20710449183577
Ofaveolata000756,0
Ofaveolata000763,0.256428568285624
Ofaveolata000764,0
Ofaveolata000765,0
Ofaveolata000766,0.504663397234153
Ofaveolata000767,0
Ofaveolata000769,0.210773945445107
Ofaveolata000770,0.171108344935968
Ofaveolata000771,0
Ofaveolata000772,0
Ofaveolata000774,0
Ofaveolata000775,0
Ofaveolata000777,0
Ofaveolata000778,0
Ofaveolata000784,0.739703349672504
Ofaveolata000786,0.197426137962959
Ofaveolata000787,0
Ofaveolata000788,0
Ofaveolata000789,0.554167974420029
Ofaveolata000790,0
Ofaveolata000791,0
Ofaveolata000792,0
Ofaveolata000793,0
Ofaveolata000795,0
Ofaveolata000796,0
Ofaveolata000797,0
Ofaveolata000798,0.667649208378059
Ofaveolata000800,0
Ofaveolata000801,0
Ofaveolata000804,0
Ofaveolata000805,0
Ofaveolata000806,0
Ofaveolata000808,0
Ofaveolata000809,0
Ofaveolata000811,0
Ofaveolata000812,0
Ofaveolata000813,0.56088883300989
Ofaveolata000814,0.332289841443568
Ofaveolata000815,0
Ofaveolata000816,0.757036655930377
Ofaveolata000817,0.649694527709697
Ofaveolata000818,0
