"","Emerald","Rainbow","Star","MacN","lowpH","hightemp","genotype","growthrate","fvfm","fvfm_ratio","survival","propB","propD","temp_actual","ph_actual"
"47",0,0,1,0,1,0,15,0.350097769,0.414,0.655,27,0,1,22.59724,7.822643
"48",0,0,0,1,1,0,16,-0.183405798,0.376,0.695,27,0,1,22.597813,7.820235
"49",0,0,0,1,1,0,19,-0.021731628,0.439,0.733,27,0,1,22.606239,7.821077
"50",0,0,0,1,1,0,20,0.195532221,0.457,0.746,NA,0,1,22.55577,7.823256
"51",0,0,0,1,1,0,21,0.043069287,0.421,0.697,27,0,1,22.521676,7.823712
"53",1,0,0,0,1,1,4,0.418455126,0.421,0.687,21,1,0,32.993506,7.823659
"54",1,0,0,0,1,1,5,0.668131785,0.399,0.669,7,1,0,32.988245,7.823673
"55",1,0,0,0,1,1,4,0.391298251,0.22,0.385,17,1,0,32.998965,7.815966
"56",1,0,0,0,1,1,5,0.562448949,0.329,0.562,10,0,0,33.024306,7.816174
"57",0,1,0,0,1,1,10,0.565510598,0.388,0.643,25,0,1,32.994162,7.822569
"58",0,1,0,0,1,1,10,0.274811332,0.368,0.639,25,0,1,33.033698,7.817851
"60",0,0,1,0,1,1,12,0.096023941,0.394,0.642,25,0,1,32.957462,7.823444
"61",0,0,1,0,1,1,13,0.333742882,0.396,0.668,25,0,1,32.94966,7.823404
"62",0,0,1,0,1,1,14,0.079499847,0.415,0.689,27,0,1,32.937333,7.823404
"63",0,0,1,0,1,1,15,0.350097769,0.383,0.606,27,0,1,32.933236,7.824068
"64",0,0,0,1,1,1,19,0.148192161,0.497,0.844,24,0,1,33.027059,7.823024
"65",0,0,0,1,1,1,20,0.063717664,0.491,0.792,25,0,1,33.027059,7.823024
"66",0,0,0,1,1,1,21,1.140602553,0.482,0.782,25,0,1,32.995047,7.822829
"67",0,0,0,1,1,1,16,-0.183405798,0.392,0.725,27,0,1,32.961953,7.822263
"68",0,0,0,1,1,1,19,-0.021731628,0.417,0.696,27,0,1,32.969001,7.822056
"69",0,0,0,1,1,1,20,0.195532221,0.419,0.684,NA,0,1,32.989687,7.822228
"70",0,0,0,1,1,1,21,0.043069287,0.429,0.71,27,0,1,32.993818,7.822276
