gene,Fish_kME
Ofaveolata000809,0
Ofaveolata000811,0.472343800393762
Ofaveolata000812,0.658651821830133
Ofaveolata000813,0
Ofaveolata000814,0
Ofaveolata000815,0
Ofaveolata000816,0
Ofaveolata000817,0
Ofaveolata000818,0.428193593124576
Ofaveolata000819,0.250050600247479
Ofaveolata000820,0
Ofaveolata000822,0
Ofaveolata000826,0
Ofaveolata000829,0
Ofaveolata000830,0
Ofaveolata000833,0.164824113135974
Ofaveolata000834,0
Ofaveolata000835,0.34549775467758
Ofaveolata000836,0
Ofaveolata000837,0
Ofaveolata000838,0
Ofaveolata000840,0
Ofaveolata000841,0.734276272817471
Ofaveolata000842,0
Ofaveolata000845,0
Ofaveolata000847,0.607925967437642
Ofaveolata000848,0
Ofaveolata000850,0
Ofaveolata000851,0
Ofaveolata000852,0
Ofaveolata000853,0
Ofaveolata000855,0
Ofaveolata000856,0.47137811368229
Ofaveolata000858,0
Ofaveolata000859,0
Ofaveolata000860,0
Ofaveolata000861,0
Ofaveolata000862,0
Ofaveolata000863,0
Ofaveolata000867,0
Ofaveolata000870,0.35570560797039
Ofaveolata000873,0
Ofaveolata000874,0
Ofaveolata000875,0
Ofaveolata000879,0
Ofaveolata000881,0
Ofaveolata000882,0
Ofaveolata000888,0
Ofaveolata000889,0
Ofaveolata000890,0
Ofaveolata000893,0
Ofaveolata000894,0
Ofaveolata000895,0.49328266193293
Ofaveolata000900,0
Ofaveolata000902,0
Ofaveolata000903,0
Ofaveolata000907,0
Ofaveolata000913,0
Ofaveolata000915,0
Ofaveolata000916,0
Ofaveolata000917,0
Ofaveolata000918,0
Ofaveolata000919,0.752263769500242
Ofaveolata000920,0.307451791455854
Ofaveolata000921,0.72140290821828
Ofaveolata000923,0
Ofaveolata000925,0.533142887803187
Ofaveolata000926,0
Ofaveolata000927,0.890412432625214
Ofaveolata000928,0.71256753334627
Ofaveolata000929,0.413874900350876
Ofaveolata000930,0
Ofaveolata000931,0
Ofaveolata000935,0
Ofaveolata000936,0
Ofaveolata000938,0
Ofaveolata000941,0
Ofaveolata000945,0
Ofaveolata000946,0
Ofaveolata000947,0
Ofaveolata000948,0
Ofaveolata000952,0
Ofaveolata000954,0.0732920372618989
Ofaveolata000955,0
Ofaveolata000956,0
Ofaveolata000957,0
Ofaveolata000958,0.643066028317105
Ofaveolata000959,0
Ofaveolata000960,0
Ofaveolata000962,0
Ofaveolata000963,0
Ofaveolata000965,0
Ofaveolata000966,0
Ofaveolata000967,0
Ofaveolata000968,0
Ofaveolata000969,0
Ofaveolata000971,0
Ofaveolata000972,0
Ofaveolata000973,0
Ofaveolata000974,0
Ofaveolata000977,0
Ofaveolata000980,0
Ofaveolata000983,0
Ofaveolata000986,0
Ofaveolata000987,0
Ofaveolata000988,0.771280651097593
Ofaveolata000989,0
Ofaveolata000990,0
Ofaveolata000991,0
Ofaveolata000994,0
Ofaveolata000996,0
Ofaveolata000998,0
Ofaveolata000999,0
