"","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv.LH_CC"
"1554","Ssiderea046965",NA,-1.44635009404083,NA,NA,-1.74980671785376
"1555","Ssiderea046972",NA,-1.75434183227219,NA,NA,-1.42475895635938
"1556","Ssiderea047070",NA,-2.18706865182445,NA,NA,-3.62360884261522
"1557","Ssiderea047074",NA,1.32836106850517,"structural constituent of cuticle","Cell cycle control, cell division, chromosome partitioning",1.60051009616695
"1558","Ssiderea047112",NA,-1.93271158173634,NA,NA,-3.87073732683735
"1559","Ssiderea047163",NA,1.89106933937798,NA,NA,2.54848258378995
"1560","Ssiderea047229",NA,-3.23175755106738,NA,NA,-2.60738005089802
"1561","Ssiderea047239",NA,3.16858949959649,"brca1 gene 1","Function Unknown",3.31410163597914
"1562","Ssiderea047391",NA,1.90066857506825,"May act as a scaffolding protein within caveolar membranes. Interacts directly with G-protein alpha subunits and can functionally regulate their activity","Signal transduction mechanisms",3.17823108228254
"1563","Ssiderea047401",NA,-1.71996856328765,NA,NA,-1.51552305568958
"1564","Ssiderea047479",NA,-1.63586521251347,NA,NA,-1.10654328402403
"1565","Ssiderea047593",NA,-7.50676094970795,"Hepatic leukemia factor","Transcription",-4.94812262435411
"1566","Ssiderea047594",NA,-1.94075502207981,NA,NA,-2.47787259590882
"1567","Ssiderea047596",NA,-8.26723425349396,"oxidoreductase activity, oxidizing metal ions with flavin as acceptor","Energy production and conversion",-12.4519830101647
"1568","Ssiderea047625",NA,-1.13970561415822,"ribosomal protein","Translation, ribosomal structure and biogenesis",-1.37659228266464
"1569","Ssiderea047669",NA,-1.34224975661404,"Ribosomal RNA processing 8, methyltransferase, homolog (yeast)","RNA processing and modification",-1.23815095920984
"1570","Ssiderea047734",NA,-5.72825058390184,"NAD-dependent histone deacetylase activity (H4-K16 specific)","",-8.68245383802798
"1571","Ssiderea047810",NA,1.48515269091445,"GTPase activity","Translation, ribosomal structure and biogenesis",1.89729452197442
"1572","Ssiderea047859",NA,-3.00172803904997,"Belongs to the peptidase M10A family","Posttranslational modification, protein turnover, chaperones",-4.14348980529428
"1573","Ssiderea047876",NA,-3.18171620025522,"Protein of unknown function (DUF1298)","Function Unknown",-3.70659764798609
"1574","Ssiderea047895",NA,-1.17925836956406,NA,NA,-1.77446310493229
"1575","Ssiderea047898",NA,-7.42265426245391,"transmembrane transport","Function Unknown",-11.9957996107887
"1576","Ssiderea047913",NA,1.21668696594549,NA,NA,1.51557024099139
"1577","Ssiderea047914",NA,1.27833528305654,NA,NA,1.10446812706707
"1578","Ssiderea047915",NA,4.18456359897304,NA,NA,8.50628250943388
"1579","Ssiderea048008",NA,-1.98386297548881,NA,NA,-1.60051009616695
