"","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"1264","Ssiderea61137",NA,NA,"-","",2.64367086499721,1.66058298575426
"1265","Ssiderea61144",NA,NA,NA,NA,-1.37797210898918,-1.69138482382241
"1266","Ssiderea61192",NA,NA,NA,NA,-1.29959351465996,-1.3098142660121
"1267","Ssiderea61286",NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific","Function Unknown",-2.15864365519991,-2.38932431692988
"1268","Ssiderea61326",NA,NA,NA,NA,-1.29842138897605,-1.5030572375304
"1269","Ssiderea61334",NA,NA,NA,NA,-1.87442690589734,-1.9393638666802
"1270","Ssiderea61461",NA,NA,NA,NA,-2.81327368808078,-3.49963232968156
"1271","Ssiderea61470",NA,NA,"CUB and zona pellucida-like domain-containing protein","Function Unknown",1.70694950190404,1.01720412898296
"1272","Ssiderea61644",NA,NA,NA,NA,1.27039609817089,1.9908514062989
"1273","Ssiderea61670",NA,NA,NA,NA,1.70285324175537,1.0184279851765
"1274","Ssiderea61730",NA,NA,"Collagen triple helix","Function Unknown",2.52541277992326,1.71337912648382
"1275","Ssiderea61839",NA,NA,"nuclease HARBI1-like","Replication, recombination and repair",-1.01470155451072,-1.27601738122608
"1276","Ssiderea61861",NA,NA,NA,NA,2.24391641495651,1.4068453704388
"1277","Ssiderea61932",NA,NA,NA,NA,-3.71014646915843,-1.22900666306704
"1278","Ssiderea61934",NA,NA,NA,NA,-1.26892409437182,-1.32352436824138
"1279","Ssiderea62146",NA,NA,NA,NA,-4.66615190356796,-7.02396173009884
"1280","Ssiderea62228",NA,NA,NA,NA,-1.14775056318611,-2.10367437257564
"1281","Ssiderea62250",NA,NA,"tumor necrosis factor","Signal transduction mechanisms",4.16504685905433,2.99332323845926
"1282","Ssiderea62253",NA,NA,"regulation of mitotic cell cycle","Posttranslational modification, protein turnover, chaperones",-1.033401745116,-1.36196338258836
"1283","Ssiderea62302",NA,NA,NA,NA,-1.41505016551505,-1.08436373908804
"1284","Ssiderea62321",NA,NA,NA,NA,-1.09853004030401,-1.31731361550384
"1285","Ssiderea62437",NA,NA,NA,NA,-1.91050218493631,-2.08032572752126
"1286","Ssiderea62446",NA,NA,NA,NA,-1.01704815443935,-1.50385816623548
"1287","Ssiderea62465",NA,NA,NA,NA,-1.03311030741418,-1.70975266461751
"1288","Ssiderea62527",NA,NA,"distal tubule morphogenesis","Signal transduction mechanisms",1.56482921246858,1.50250301487939
"1289","Ssiderea62585",NA,NA,NA,NA,-1.88467314709961,-1.13823397431015
"1290","Ssiderea62739",NA,NA,"transposition, RNA-mediated","Replication, recombination and repair",-2.22822664061922,-2.36646548132723
"1291","Ssiderea62799",NA,NA,"retrotransposon","Replication, recombination and repair",-1.63557328949597,-1.15651117424138
