"","comparison","gene","lpv.LC_CC","lpv.CH_CC","lpv.LH_CC","annot","KOG"
"135","stress_control","Ssiderea050054",1.15682391191172,7.99267123671398,7.8052210469656,"Macrophage migration inhibitory","Defense mechanisms"
"136","stress_control","Ssiderea050946",1.58912121984579,1.2465675113652,1.08915362760623,NA,NA
"137","stress_control","Ssiderea050947",2.87657669943878,6.88487634760599,5.63843106084744,NA,NA
"138","stress_control","Ssiderea051123",1.70171961990263,1.20665064033904,2.00328603387185,"7SK snRNA binding","Transcription"
"139","stress_control","Ssiderea051176",1.09386778640167,4.18543132570526,2.7846240402554,"Ubiquitin-2 like Rad60 SUMO-like","Posttranslational modification, protein turnover, chaperones"
"140","stress_control","Ssiderea051243",2.49302373367995,1.73770577927045,2.27956012745696,NA,NA
"141","stress_control","Ssiderea051443",1.07205948958911,-1.21980384956545,-2.28169666267011,"ribosomal large subunit assembly","Translation, ribosomal structure and biogenesis"
"142","stress_control","Ssiderea051574",1.08209422627101,1.33953210478912,1.69421825495267,"Secreted frizzled-related protein","Signal transduction mechanisms"
"143","stress_control","Ssiderea051703",1.27308785499505,2.99168716062005,4.11347515261816,"Glutathione S-transferase, C-terminal domain","Posttranslational modification, protein turnover, chaperones"
"144","stress_control","Ssiderea051704",2.34631812914329,5.60469588082972,6.69262479371101,"Glutathione S-transferase, C-terminal domain","Posttranslational modification, protein turnover, chaperones"
"145","stress_control","Ssiderea051780",-1.86152718819916,-7.16688028078701,-8.1402609421183,NA,NA
"146","stress_control","Ssiderea051895",1.25238892629259,3.18171620025522,2.10446542439166,"[heparan sulfate]-glucosamine N-sulfotransferase activity","Posttranslational modification, protein turnover, chaperones"
"147","stress_control","Ssiderea052005",1.08867647140721,2.81191840622025,1.60797613013034,"GTP-specific succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit","Energy production and conversion"
"148","stress_control","Ssiderea052054",1.03812050527686,2.17662107520574,2.54371976547946,"Carboxypeptidase","Posttranslational modification, protein turnover, chaperones"
"149","stress_control","Ssiderea052229",1.40049478760845,8.41639460929829,5.4200744658999,NA,NA
"150","stress_control","Ssiderea052394",4.45068349421605,2.63350643668192,2.23648291131525,NA,NA
"151","stress_control","Ssiderea052473",1.21938821691528,5.35952830449741,4.63658715696031,"Cupin-like domain",""
"152","stress_control","Ssiderea053049",1.3276384265172,1.68452200694377,1.96911983697071,"adherens junction organization","Cytoskeleton"
"153","stress_control","Ssiderea053777",1.26609685248535,3.0121414669622,3.23385552305193,"actin monomer binding","Cell motility"
"154","stress_control","Ssiderea053828",1.00475133192339,14.5989744340819,21.2781127614357,NA,NA
"155","stress_control","Ssiderea054350",1.21938821691528,-3.73526270419079,-1.92426991033073,"Transferrin","Extracellular structures"
"156","stress_control","Ssiderea054485",2.25087272218129,-5.92668898956861,-5.11516807623786,"Solute carrier family 12","Inorganic ion transport and metabolism"
"157","stress_control","Ssiderea054517",1.60580931472868,8.78072280743618,10.7941719613238,"Universal stress protein family","Signal transduction mechanisms"
"158","stress_control","Ssiderea054861",-1.27844721149116,-8.62137776474426,-9.14801595803233,NA,NA
"159","stress_control","Ssiderea054862",-1.36073536069049,-12.6780094984678,-11.5950766242985,NA,NA
"160","stress_control","Ssiderea055226",1.27844721149116,1.66871126539902,2.89248739622373,"glucuronosyltransferase activity","Carbohydrate transport and metabolism"
"161","stress_control","Ssiderea055233",1.83789839153658,8.36850250021359,9.75629718413446,"glucuronosyltransferase activity","Carbohydrate transport and metabolism"
"162","stress_control","Ssiderea055265",1.86152718819916,7.2562768259595,13.1032629485015,NA,NA
"163","stress_control","Ssiderea058819",5.77734681511482,2.68682105862673,5.2309587482827,NA,NA
"164","stress_control","Ssiderea059107",-1.07042542881138,-1.13627991016861,-1.13502887077814,"plexin domain-containing protein","Extracellular structures"
"165","stress_control","Ssiderea60367",2.02401212799386,3.64423024026225,4.57841345259756,"serine-type endopeptidase activity","Posttranslational modification, protein turnover, chaperones"
"166","stress_control","Ssiderea60478",-1.51086046679289,-1.04270936802472,-3.89451804663109,NA,NA
"167","stress_control","Ssiderea60508",1.15727584840585,1.48887132491577,2.33947735219004,"-",""
"168","stress_control","Ssiderea60633",1.29493049221021,1.11019157243725,1.37265540761015,NA,NA
"169","stress_control","Ssiderea62250",1.33607296618101,4.20652450594972,5.73947307585752,"tumor necrosis factor","Signal transduction mechanisms"
"170","stress_control","Ssiderea62342",4.78429520456276,6.4876611875224,10.1335009426091,NA,NA
