"row_label","comparison","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv_x","lpv_y","rel_class","abs_x","abs_y","delta_log10p","p_x","p_y","p_ratio","x_axis_name","y_axis_name","x_col","y_col","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"Urban Sites vs Emerald Reef_18","Urban Sites vs Emerald Reef","Ssiderea024230",-5.42806667901096,-1.25095359479532,NA,NA,-5.42806667901096,-1.25095359479532,"Direct",5.42806667901096,1.25095359479532,4.17711308421565,3.73192855568951e-06,0.0561107928295907,15035.3341421949,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_19","Urban Sites vs Emerald Reef","Ssiderea027684",-3.55623111964668,-1.12310619527727,NA,NA,-3.55623111964668,-1.12310619527727,"Direct",3.55623111964668,1.12310619527727,2.43312492436941,0.000277823437392292,0.0753171372992601,271.097132791251,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_20","Urban Sites vs Emerald Reef","Ssiderea027833",-1.13735343660923,-4.88854944473255,NA,NA,-1.13735343660923,-4.88854944473255,"Direct",1.13735343660923,4.88854944473255,3.75119600812332,0.0728864106193137,1.2925595336164e-05,5638.92097220371,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_21","Urban Sites vs Emerald Reef","Ssiderea028667",1.12577528737529,3.14968103909043,"creatine kinase activity","Energy production and conversion",1.12577528737529,3.14968103909043,"Direct",1.12577528737529,3.14968103909043,2.02390575171514,0.0748556718497628,0.000708465915266019,105.658818916723,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_22","Urban Sites vs Emerald Reef","Ssiderea028966",1.19711470054102,3.75525615404209,"protein-hormone receptor activity","Signal transduction mechanisms",1.19711470054102,3.75525615404209,"Direct",1.19711470054102,3.75525615404209,2.55814145350107,0.0635163158181207,0.000175688706735883,361.527596156799,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_23","Urban Sites vs Emerald Reef","Ssiderea029356",3.23973372080104,1.11760689254052,"positive regulation of epithelial to mesenchymal transition","Function Unknown",3.23973372080104,1.11760689254052,"Direct",3.23973372080104,1.11760689254052,2.12212682826051,0.000575792865306171,0.0762769128322794,132.472834292103,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_24","Urban Sites vs Emerald Reef","Ssiderea034126",-4.49012419736362,-1.16141301761949,"Melanocortin 4 receptor","Signal transduction mechanisms",-4.49012419736362,-1.16141301761949,"Direct",4.49012419736362,1.16141301761949,3.32871117974413,3.23501130464974e-05,0.068958369215056,2131.62683901416,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_25","Urban Sites vs Emerald Reef","Ssiderea035994",3.89359445391223,1.06194219784942,NA,NA,3.89359445391223,1.06194219784942,"Direct",3.89359445391223,1.06194219784942,2.83165225606281,0.000127763130965159,0.086707727118219,678.66000514549,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_26","Urban Sites vs Emerald Reef","Ssiderea038574",-1.04997944541401,-3.75525615404209,NA,NA,-1.04997944541401,-3.75525615404209,"Direct",1.04997944541401,3.75525615404209,2.70527670862808,0.0891293120865344,0.000175688706735883,507.313837881022,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_27","Urban Sites vs Emerald Reef","Ssiderea041204",-4.59386875326385,-1.17458847886253,"Immunoglobulin C-2 Type","Inorganic ion transport and metabolism",-4.59386875326385,-1.17458847886253,"Direct",4.59386875326385,1.17458847886253,3.41928027440132,2.54760003826158e-05,0.0668977515298922,2625.91264426034,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_28","Urban Sites vs Emerald Reef","Ssiderea041320",-1.09423702214349,-4.56090582034239,"Common central domain of tyrosinase","Amino acid transport and metabolism",-1.09423702214349,-4.56090582034239,"Direct",1.09423702214349,4.56090582034239,3.4666687981989,0.0804939014840265,2.74849011691056e-05,2928.65893854862,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_29","Urban Sites vs Emerald Reef","Ssiderea041358",-5.19059743853369,-1.03396391523,"Common central domain of tyrosinase","Amino acid transport and metabolism",-5.19059743853369,-1.03396391523,"Direct",5.19059743853369,1.03396391523,4.15663352330369,6.44766643462598e-06,0.0924775008686484,14342.7861546955,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_30","Urban Sites vs Emerald Reef","Ssiderea047419",1.00694684694571,6.11471973599015,NA,NA,1.00694684694571,6.11471973599015,"Direct",1.00694684694571,6.11471973599015,5.10777288904444,0.0984131545690068,7.67856851899577e-07,128166.017305889,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_31","Urban Sites vs Emerald Reef","Ssiderea056951",1.00668013624785,3.27662735259771,"Ig-like domain on T-cell surface glycoprotein CD3 epsilon chain","Signal transduction mechanisms",1.00668013624785,3.27662735259771,"Direct",1.00668013624785,3.27662735259771,2.26994721634987,0.0984736110187061,0.000528898880057709,186.186083449376,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_32","Urban Sites vs Emerald Reef","Ssiderea056972",-1.01099545667022,-3.27345569630182,"Sialic acid binding Ig-like lectin 1, sialoadhesin","Signal transduction mechanisms",-1.01099545667022,-3.27345569630182,"Direct",1.01099545667022,3.27345569630182,2.2624602396316,0.0974999837530684,0.000532775571603882,183.003855562581,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_33","Urban Sites vs Emerald Reef","Ssiderea057248",1.25067901885753,5.05884130684631,"-","",1.25067901885753,5.05884130684631,"Direct",1.25067901885753,5.05884130684631,3.80816228798878,0.0561462792231434,8.73290414332654e-06,6429.27922964195,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
