"row_label","comparison","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv_x","lpv_y","rel_class","abs_x","abs_y","delta_log10p","p_x","p_y","p_ratio","x_axis_name","y_axis_name","x_col","y_col","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","lpv.LH_CC"
"Bleaching vs OA_26","Bleaching vs OA","Ssiderea054485",2.25087272218129,-5.92668898956861,"Solute carrier family 12","Inorganic ion transport and metabolism",2.25087272218129,-5.92668898956861,"Inverse",2.25087272218129,5.92668898956861,3.67581626738731,0.00561212425341451,1.1838890683159e-06,4740.41394891654,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"OA+Bleaching vs OA_1","OA+Bleaching vs OA","Ssiderea000534",1.18590690088165,NA,"ribosomal protein","Translation, ribosomal structure and biogenesis",1.18590690088165,-1.00514436303467,"Inverse",1.18590690088165,1.00514436303467,0.180762537846974,0.0651768097728333,0.0988224546139329,1.51622110622425,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.00514436303467
"OA+Bleaching vs OA_2","OA+Bleaching vs OA","Ssiderea001633",1.01286220909102,NA,"protein folding in endoplasmic reticulum","Function Unknown",1.01286220909102,-2.50764991223421,"Inverse",1.01286220909102,2.50764991223421,1.49478770314319,0.0970817934932369,0.00310706320389836,31.2455161425202,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.50764991223421
"OA+Bleaching vs OA_3","OA+Bleaching vs OA","Ssiderea002122",1.0784042731739,NA,"rRNA binding","Translation, ribosomal structure and biogenesis",1.0784042731739,-1.57578999104661,"Inverse",1.0784042731739,1.57578999104661,0.497385717872712,0.083482553954547,0.026558895427117,3.14329917008936,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.57578999104661
"OA+Bleaching vs OA_4","OA+Bleaching vs OA","Ssiderea003526",1.30691080116163,NA,"-","",1.30691080116163,-1.03663898475458,"Inverse",1.30691080116163,1.03663898475458,0.270271816407049,0.0493275106297309,0.0919096294655572,1.86325294530799,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.03663898475458
"OA+Bleaching vs OA_5","OA+Bleaching vs OA","Ssiderea006435",1.22057071040207,NA,"structural constituent of ribosome","Translation, ribosomal structure and biogenesis",1.22057071040207,-3.44824341729129,"Inverse",1.22057071040207,3.44824341729129,2.22767270688921,0.0601768276987223,0.000356251402456287,168.916746106301,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-3.44824341729129
"OA+Bleaching vs OA_6","OA+Bleaching vs OA","Ssiderea007939",1.09386778640167,NA,"structural constituent of ribosome","Translation, ribosomal structure and biogenesis",1.09386778640167,-2.36457533202204,"Inverse",1.09386778640167,2.36457533202204,1.27070754562038,0.0805623662347693,0.00431941237287666,18.6512329178508,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.36457533202204
"OA+Bleaching vs OA_7","OA+Bleaching vs OA","Ssiderea008900",1.57972051105002,NA,"Belongs to the universal ribosomal protein uL5 family","Translation, ribosomal structure and biogenesis",1.57972051105002,-1.28425350010457,"Inverse",1.57972051105002,1.28425350010457,0.29546701094545,0.0263196123799052,0.0519692560545448,1.97454488707527,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.28425350010457
"OA+Bleaching vs OA_8","OA+Bleaching vs OA","Ssiderea009116",1.67484966552812,NA,"Lipocalin-like domain","Cell wall/membrane/envelope biogenesis",1.67484966552812,-1.8685772715903,"Inverse",1.67484966552812,1.8685772715903,0.193727606062183,0.0211422076743312,0.0135338926825832,1.56216752786426,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.8685772715903
"OA+Bleaching vs OA_9","OA+Bleaching vs OA","Ssiderea009898",1.08724796288719,NA,"Papain family cysteine protease","Posttranslational modification, protein turnover, chaperones",1.08724796288719,-1.04603995485555,"Inverse",1.08724796288719,1.04603995485555,0.0412080080316437,0.0817997614422019,0.0899414832049476,1.0995323411609,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.04603995485555
"OA+Bleaching vs OA_10","OA+Bleaching vs OA","Ssiderea009999",1.99713762667243,NA,"Acid trehalase-like","Carbohydrate transport and metabolism",1.99713762667243,-109.867314605767,"Inverse",1.99713762667243,109.867314605767,107.870176979094,0.0100661262565614,1.35732983174227e-110,7.41612393771713e+107,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-109.867314605767
