"","incubation","site","species","treatment","meanTA","sdTA","nTA","seTA","meanpH","sdpH","npH","sepH","meanDIC","sdDIC","nDIC","seDIC","meanpCO2","sdpCO2","npCO2","sepCO2","meanAr","sdAr","nAr","seAr","meanCalc","sdCalc","nCalc","seCalc"
"23","night","Rainbow","Ofav","control pH",-12.7921041,9.41095455400258,5,4.2087068231822,0.011491372,0.140998835088695,5,0.063056596001321,-1.3740144198886e-05,6.71019509571818e-05,5,3.00089047526231e-05,-45.4763396382794,236.872164759148,5,105.932452475797,-0.0100891009508518,0.713439061166706,5,0.319059647714477,0.032703312,0.0138245876374187,5,0.00618254354363429
"24","night","Rainbow","Ofav","low pH",-22.3726296,8.50116045570112,5,3.80183453331616,-0.083846964,0.00988709242797548,5,0.00442164215375532,1.28068343004227e-05,5.609088946603e-06,5,2.5084608352894e-06,204.786605343049,22.0909437148236,5,9.87937036669344,-0.323284860164156,0.0412298530403497,5,0.0184385508201097,0.032936252,0.0197628934243223,5,0.00883823462577363
"25","night","Rainbow","Ssid","control pH",-15.2944137,12.1890385644682,5,5.45110376210347,-0.048910702,0.0173445619393535,5,0.00775672390727,1.2910918411539e-05,8.27893662353284e-06,5,3.7024530143264e-06,63.1901260796035,23.1094616412518,5,10.3348654306526,-0.29287999185393,0.105356090038318,5,0.0471166758338534,0.029977726,0.0138489020306225,5,0.00619341727084136
"26","night","Rainbow","Ssid","low pH",-7.0625904,5.33031302071965,5,2.38378845113628,-0.031339794,0.0418533876144647,5,0.0187174039589182,6.5495050143514e-06,1.55556705381133e-05,5,6.95670735176241e-06,72.1338534614716,107.084156030982,5,47.889490439694,-0.127125933007284,0.154606164569418,5,0.0691419787435475,0.011843298,0.0074502785522536,5,0.00333186585882955
"27","night","Star Island","Ofav","control pH",-12.8587863,7.03862151622577,5,3.14776723563469,-0.001937304,0.133059782705097,5,0.0595061438399897,-6.17683428607955e-06,6.8427299757766e-05,5,3.06016187550239e-05,-27.8006264099308,227.528967120842,5,101.754047466503,-0.0869233420880884,0.662437806156098,5,0.296251193086173,0.030153456,0.0092204588762073,5,0.00412351456618817
"28","night","Star Island","Ofav","low pH",-20.0740603,16.3855550369679,5,7.32784298234487,-0.079141332,0.011801695299067,5,0.0052778785876907,1.29447403385532e-05,1.2028471246431e-05,5,5.37929587448425e-06,193.080039035606,24.8624449495418,5,11.1188233988044,-0.304076071425236,0.0514309081429756,5,0.0230006013504482,0.028966642,0.0267990582345569,5,0.0119849031890889
"29","night","Star Island","Ssid","control pH",-16.7727999,7.36326657800356,5,3.29295292097365,-0.061286144,0.00842320401580835,5,0.00376697135353934,1.82248636691707e-05,6.07169295777392e-06,5,2.71534363841785e-06,80.4531402094125,12.7156754817451,5,5.68662295140186,-0.361711584357098,0.0480660611925235,5,0.0214957960474294,0.034666916,0.0106465409995984,5,0.00476127788006812
"30","night","Star Island","Ssid","low pH",-21.1209429,18.669480633394,5,8.34924556017694,-0.046711374,0.0380083176509673,5,0.0169978363955936,-8.00192482091917e-07,1.91898827708589e-05,5,8.58197647117849e-06,106.712880807679,95.2522751009325,5,42.5981124274391,-0.192298113581192,0.145006227380726,5,0.0648487563168188,0.033283878,0.0333309506470761,5,0.0149060542803105
"31","night","MacArthur North","Ofav","control pH",-9.0674674,7.61659736953431,5,3.40624589510496,0.013488248,0.136591707912941,5,0.0610856688112265,-1.13676809919208e-05,6.57978863585064e-05,5,2.94257093346853e-05,-47.3711192419552,231.183350967771,5,103.388337606026,0.00646654790911585,0.688860625294697,5,0.308067837036391,0.029739262,0.0131339885302893,5,0.00587369823388587
"32","night","MacArthur North","Ofav","low pH",-13.9346564285714,13.020900340337,7,4.92143773524114,-0.0193404157142857,0.115208808129469,7,0.0435448364506761,-8.23626475026865e-06,5.05979775039672e-05,7,1.91242379026197e-05,68.2189865418659,218.070556770341,7,82.4229230685309,-0.0429389831771482,0.539991686863725,7,0.204097673354811,0.0237334157142857,0.0146784207688462,7,0.00554792157050465
