"","Eigenvalues","Relative_eig","Broken_stick","Cumul_eig","Cumul_br_stick"
"23",152.639551819358,0.00958687710636905,0.0164378810595863,0.786891887438683,0.716532802832023
"24",148.60803944958,0.00933366872635752,0.0157689847385161,0.796225556165041,0.732301787570539
"25",139.245318185674,0.00874562154547692,0.0151279590974904,0.804971177710518,0.74742974666803
"26",136.792717037353,0.00859158030570887,0.0145125744821058,0.813562758016227,0.761942321150136
"27",131.97593211151,0.00828905108191688,0.0139208585057744,0.821851809098143,0.77586317965591
"28",125.593637137905,0.00788819640932871,0.0133510579359739,0.829740005507472,0.789214237591884
"29",119.09029030279,0.0074797387969654,0.0128016073865233,0.837219744304438,0.802015844978407
"30",112.96236795561,0.00709486058054275,0.0122711034077435,0.84431460488498,0.814286948386151
"31",109.70410343347,0.00689021780492214,0.011758282894923,0.851204822689902,0.826045231281074
"32",106.195230316332,0.00666983498176205,0.0112620049792902,0.857874657671664,0.837307236260364
"33",102.865148031473,0.00646068152685136,0.010781235748521,0.864335339198516,0.848088472008885
"34",99.6768339837746,0.00626043215119824,0.0103150352823205,0.870595771349714,0.858403507291205
"35",95.4674305831206,0.00599605091702796,0.00986254659453772,0.876591822266742,0.868266053885743
"36",92.2203548957337,0.00579211088183382,0.00942298615497728,0.882383933148576,0.87768904004072
"37",90.5065536980081,0.00568447166728222,0.00899563572762685,0.888068404815858,0.886684675768347
"38",87.7731778310043,0.00551279572739547,0.00857983531182643,0.893581200543254,0.895264511080174
"39",84.1117995114201,0.00528283446524948,0.00817497701223129,0.898864035008503,0.903439488092405
"40",83.4080494700825,0.00523863382996532,0.00778049969467705,0.904102668838468,0.911219987787082
"41",80.2826089399373,0.00504233336977249,0.00739588431006167,0.909145002208241,0.918615872097144
"42",77.5763511539974,0.00487236064315793,0.00702064978848568,0.914017362851399,0.925636521885629
"43",75.0893982572827,0.00471616186305179,0.00665434942218532,0.918733524714451,0.932290871307815
"44",73.2210622635781,0.00459881673623794,0.00629656766905473,0.923332341450689,0.938587438976869
"45",71.6067582530533,0.00449742667070934,0.00594691731940438,0.927829768121398,0.944534356296274
"46",70.5272870013125,0.00442962800314941,0.00560503697752403,0.932259396124547,0.950139393273798
"47",68.7167443487335,0.00431591271966472,0.00527058881698892,0.936575308844212,0.955409982090787
"48",65.7133235804915,0.004127275990451,0.00494325657476306,0.940702584834663,0.96035323866555
"49",64.229168012839,0.0040340601963516,0.00462274375425024,0.944736645031015,0.9649759824198
"50",62.7076881893604,0.00393850016676783,0.00430877201170707,0.948675145197782,0.969284754431507
"51",62.0014038920279,0.003894140361724,0.00400107970401476,0.952569285559506,0.973285834135522
"52",61.6873963685863,0.00387441839908831,0.00369942057882622,0.956443703958595,0.976985254714348
"53",60.5674489372422,0.00380407753224276,0.00340356259066054,0.960247781490837,0.980388817305009
"54",59.3606057925092,0.00372827898083643,0.00311328682868667,0.963976060471674,0.983502104133695
"55",57.827036058022,0.0036319596166655,0.00282838654378638,0.967608020088339,0.986330490677482
"56",57.5022283748544,0.00361155932522979,0.0025486662640661,0.971219579413569,0.988879156941548
"57",56.5393614981787,0.00355108426285927,0.00227394098934083,0.974770663676429,0.991153097930889
"58",54.8097190604617,0.00344245010290067,0.0020040354562774,0.978213113779329,0.993157133387166
"59",53.2077397208871,0.00334183411659576,0.00173878346688748,0.981554947895925,0.994895916854054
"60",52.3389156855049,0.00328726563054487,0.0014780272739279,0.98484221352647,0.996373944127981
"61",50.371504521145,0.00316369786042498,0.00122161701751764,0.988005911386895,0.997595561145499
"62",49.9699265689301,0.00313847583618144,0.000969410207933781,0.991144387223076,0.998564971353433
"63",48.6929133177876,0.00305827009031816,0.000721271250117404,0.994202657313394,0.99928624260355
"64",46.380086713399,0.00291300771133231,0.00047707100591716,0.997115665024727,0.999763313609467
"65",45.923567501461,0.00288433497527288,0.000236686390532544,1,1
