"","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"1272","Ofaveolata015061",NA,NA,"negative regulation of cell proliferation involved in heart valve morphogenesis","Signal transduction mechanisms",1.05699354043876,5.19144048858575
"1273","Ofaveolata015074",NA,NA,"structural constituent of cuticle","Extracellular structures",3.99217859763451,4.24563347083968
"1274","Ofaveolata015084",NA,NA,NA,NA,1.63696204833507,1.98281247526443
"1275","Ofaveolata015086",NA,NA,NA,NA,3.82270726401082,1.50738735906687
"1276","Ofaveolata015101",NA,NA,NA,NA,1.76113233315403,6.00587105658067
"1277","Ofaveolata015120",NA,NA,"Nuclear factor erythroid","Transcription",-1.56335290673258,-1.47572935334417
"1278","Ofaveolata015131",NA,NA,NA,NA,1.04081298639019,3.96356772597898
"1279","Ofaveolata015148",NA,NA,NA,NA,1.88723329826297,2.90894925358471
"1280","Ofaveolata015179",NA,NA,"calcium ion-regulated exocytosis of neurotransmitter",NA,-1.22968213626737,-1.9975602502412
"1281","Ofaveolata015272",NA,NA,"CW-type Zinc Finger",NA,-2.20918212989401,-2.3144201124062
"1282","Ofaveolata015297",NA,NA,NA,NA,-2.48905705563288,-2.1021827932781
"1283","Ofaveolata015359",NA,NA,NA,NA,-1.90533889022942,-1.1589905324393
"1284","Ofaveolata015365",NA,NA,NA,NA,-1.32984767745606,-2.76767944507297
"1285","Ofaveolata015401",NA,NA,"Carboxylesterase family","Carbohydrate transport and metabolism",1.3228857187506,2.56354357733781
"1286","Ofaveolata015403",NA,NA,"Carboxylesterase family","Carbohydrate transport and metabolism",1.22968213626737,2.85267906873946
"1287","Ofaveolata015416",NA,NA,NA,NA,-3.95839964071487,-1.93504236232527
"1288","Ofaveolata015454",NA,NA,NA,NA,-1.27875983740764,-4.86396296284583
"1289","Ofaveolata015485",NA,NA,"negative regulation of inclusion body assembly",NA,-1.3389207119669,-1.36571839937396
