"","comparison","gene","lpv.Star_Emerald","lpv.MacN_Emerald","lpv.Star_Rainbow","lpv.MacN_Rainbow","annot","KOG"
"88","urban_reef","Ofaveolata016011",-1.32159066937283,-1.51037120530415,-1.66467149285656,-1.8074534525388,"sodium-dependent L-ascorbate transmembrane transporter activity","Nucleotide transport and metabolism"
"89","urban_reef","Ofaveolata016488",1.74847898708681,2.69854559567846,1.69054220733805,2.42532230729019,"Methyltransferase domain","Secondary metabolites biosynthesis, transport and catabolism"
"90","urban_reef","Ofaveolata016489",1.44527719189532,2.32275006015868,1.10289090281711,1.68318434426616,"Methyltransferase domain","Secondary metabolites biosynthesis, transport and catabolism"
"91","urban_reef","Ofaveolata016568",3.20637704173766,7.24372040660992,1.02215842756938,2.9942807572664,NA,NA
"92","urban_reef","Ofaveolata016671",-1.03320037082766,-3.96568260335452,-3.03320800125096,-7.06271856729252,"NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 4",NA
"93","urban_reef","Ofaveolata016708",2.37298265783068,1.12439001103255,2.23364974482043,1.06127506986659,"plasmacytoid dendritic cell antigen processing and presentation",""
"94","urban_reef","Ofaveolata017573",3.31403546019261,11.255944999468,2.48905705563288,8.61201612541861,"zinc ion binding","Posttranslational modification, protein turnover, chaperones"
"95","urban_reef","Ofaveolata017583",2.00685814744679,1.76352838226739,2.54943918881303,2.21431080000224,NA,NA
"96","urban_reef","Ofaveolata017642",1.5279137260074,5.06448151926069,2.20642208061276,5.71556807312485,"mRNA-containing ribonucleoprotein complex export from nucleus","RNA processing and modification"
"97","urban_reef","Ofaveolata017647",1.46793197024075,1.75889969393335,2.16902001068025,2.42465980211908,"Rhomboid domain containing 1",NA
"98","urban_reef","Ofaveolata017732",-2.19058070299549,-3.29697002334963,-2.25386146693216,-3.14524033666319,NA,NA
"99","urban_reef","Ofaveolata017763",-1.77761943216644,-1.7646546528117,-1.94988540521337,-1.84917804484839,NA,NA
"100","urban_reef","Ofaveolata017773",-2.3064431406803,-4.38575615590565,-1.4390912461694,-2.7547466375282,NA,NA
"101","urban_reef","Ofaveolata017812",1.33771362941936,2.70628267973677,1.00540975965613,1.96086754498506,"nucleic acid-templated transcription","Transcription"
"102","urban_reef","Ofaveolata018066",2.64543129475154,9.05955951838787,2.86510662932965,8.43569113004757,NA,NA
"103","urban_reef","Ofaveolata018127",1.62801219768389,5.80861024682649,1.74151930996685,5.3379104980086,NA,NA
"104","urban_reef","Ofaveolata018240",2.60074178085479,3.80532999036954,2.09678315093067,2.91984582003358,NA,NA
"105","urban_reef","Ofaveolata018415",1.6970862154571,5.46949238894444,2.61485829471528,6.46840304222073,"Olfactomedin 1","Extracellular structures"
"106","urban_reef","Ofaveolata018519",-3.04148116200445,-5.30962185473722,-1.75324810127948,-3.14442241556579,NA,NA
"107","urban_reef","Ofaveolata018989",-1.4540404402317,-2.95983226088823,-2.25044650816095,-3.83704110146856,"Belongs to the DHHC palmitoyltransferase family",NA
"108","urban_reef","Ofaveolata019126",1.00464719745502,1.93552222470034,2.45626393457585,3.69677336566486,"Belongs to the UDP-glycosyltransferase family",""
"109","urban_reef","Ofaveolata019335",4.03106606924493,2.25941327604949,2.45626393457585,1.17745606669961,"metalloendopeptidase activity","Posttranslational modification, protein turnover, chaperones"
"110","urban_reef","Ofaveolata019428",-1.49076619472458,-1.56084596627184,-1.56341907720991,-1.5375399795142,NA,NA
"111","urban_reef","Ofaveolata019850",-4.82912304898513,-4.36158228739022,-2.93088861469765,-2.42832936151775,NA,NA
"112","urban_reef","Ofaveolata019852",-1.86830830137262,1.1330087349597,-1.09320636698852,1.73174781368288,NA,NA
"113","urban_reef","Ofaveolata019863",-5.78148935616055,-4.85331803558654,-3.89100407273292,-3.11925152565023,NA,NA
"114","urban_reef","Ofaveolata019918",-1.51499336737528,-1.28063619231985,-1.77954993221648,-1.4815572545175,"Rho guanyl-nucleotide exchange factor activity","Signal transduction mechanisms"
"115","urban_reef","Ofaveolata020795",-2.40472225723664,-3.01309360772991,-1.14240413048615,-1.33622409407927,NA,NA
