"row_label","comparison","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv_x","lpv_y","rel_class","abs_x","abs_y","delta_log10p","p_x","p_y","p_ratio","x_axis_name","y_axis_name","x_col","y_col","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","lpv.LH_CC"
"OA+Bleaching vs OA_124","OA+Bleaching vs OA","Ofaveolata025190",1.00106376178653,NA,"structural constituent of cuticle","Cell cycle control, cell division, chromosome partitioning",1.00106376178653,-11.9460955248228,"Inverse",1.00106376178653,11.9460955248228,10.9450317630363,0.0997553595305277,1.1321513145992e-12,88111331271.8648,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-11.9460955248228
"OA+Bleaching vs OA_125","OA+Bleaching vs OA","Ofaveolata025193",1.3558602063724,NA,"structural constituent of cuticle","Cell cycle control, cell division, chromosome partitioning",1.3558602063724,-9.32047808031163,"Inverse",1.3558602063724,9.32047808031163,7.96461787393923,0.0440696695093499,4.78103496354815e-10,92176003.407941,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-9.32047808031163
"OA+Bleaching vs OA_126","OA+Bleaching vs OA","Ofaveolata025430",1.74353165027332,NA,NA,NA,1.74353165027332,-4.03174117538573,"Inverse",1.74353165027332,4.03174117538573,2.28820952511241,0.0180496319122797,9.2952018388718e-05,194.182248273486,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-4.03174117538573
"OA+Bleaching vs OA_127","OA+Bleaching vs OA","Ofaveolata025437",1.66724071961546,NA,"peptidase inhibitor activity","",1.66724071961546,-9.40427792990715,"Inverse",1.66724071961546,9.40427792990715,7.73703721029168,0.0215158882709706,3.94204947017462e-10,54580462.3553279,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-9.40427792990715
"OA+Bleaching vs OA_128","OA+Bleaching vs OA","Ofaveolata025439",1.26212738750264,NA,"positive regulation of epithelial to mesenchymal transition",NA,1.26212738750264,-1.88349296919356,"Inverse",1.26212738750264,1.88349296919356,0.621365581690922,0.0546855535392376,0.0130769670909024,4.18182237204545,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.88349296919356
"OA+Bleaching vs OA_129","OA+Bleaching vs OA","Ofaveolata026158",2.51117336352438,NA,"Belongs to the glutathione peroxidase family","Posttranslational modification, protein turnover, chaperones",2.51117336352438,-1.82678534780953,"Inverse",2.51117336352438,1.82678534780953,0.684388015714849,0.00308195743574508,0.0149009738371847,4.8349057856415,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.82678534780953
"OA+Bleaching vs OA_130","OA+Bleaching vs OA","Ofaveolata026390",2.05642807258061,NA,NA,NA,2.05642807258061,-2.39169165513484,"Inverse",2.05642807258061,2.39169165513484,0.335263582554226,0.00878156514460411,0.00405796544800897,2.16403152198173,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.39169165513484
"OA+Bleaching vs OA_131","OA+Bleaching vs OA","Ofaveolata026393",-1.53140547601467,NA,NA,NA,-1.53140547601467,3.33334599561502,"Inverse",1.53140547601467,3.33334599561502,1.80194051960035,0.0294167387798309,0.000464145350550947,63.3782903241686,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,3.33334599561502
"OA+Bleaching vs OA_132","OA+Bleaching vs OA","Ofaveolata026674",1.89664915048427,NA,"structural constituent of cytoskeleton","Cytoskeleton",1.89664915048427,-2.25947884237902,"Inverse",1.89664915048427,2.25947884237902,0.362829691894748,0.0126867636596151,0.00550200724109001,2.30584277768084,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.25947884237902
"OA+Bleaching vs OA_133","OA+Bleaching vs OA","Ofaveolata026759",1.01540382817686,NA,"proton channel activity","Translation, ribosomal structure and biogenesis",1.01540382817686,-3.7180452947239,"Inverse",1.01540382817686,3.7180452947239,2.70264146654704,0.0965153015300446,0.000191405628819426,504.244844445499,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-3.7180452947239
"OA+Bleaching vs OA_134","OA+Bleaching vs OA","Ofaveolata027109",-1.25519986901484,NA,NA,NA,-1.25519986901484,11.0601104459174,"Inverse",1.25519986901484,11.0601104459174,9.80491057690257,0.0555648480423174,8.70742122389456e-12,6381320785.29044,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,11.0601104459174
"OA+Bleaching vs OA_135","OA+Bleaching vs OA","Ofaveolata027450",1.39495750050306,NA,NA,NA,1.39495750050306,-14.0224200066319,"Inverse",1.39495750050306,14.0224200066319,12.6274625061289,0.0402756445622511,9.49685907200166e-15,4240943690634.57,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-14.0224200066319
"OA+Bleaching vs OA_136","OA+Bleaching vs OA","Ofaveolata027775",1.22660152675895,NA,"protein serine/threonine kinase activity","Signal transduction mechanisms",1.22660152675895,-2.96469922778488,"Inverse",1.22660152675895,2.96469922778488,1.73809770102594,0.0593469594211543,0.00108467785153038,54.7139036142587,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.96469922778488
"OA+Bleaching vs OA_137","OA+Bleaching vs OA","Ofaveolata029102",1.02652037730293,NA,NA,NA,1.02652037730293,-1.31877035103811,"Inverse",1.02652037730293,1.31877035103811,0.29224997373518,0.0940761688016731,0.0479987192182737,1.95997248122106,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.31877035103811
"OA+Bleaching vs OA_138","OA+Bleaching vs OA","Ofaveolata029423",1.64219236817661,NA,"miRNA binding","Posttranslational modification, protein turnover, chaperones",1.64219236817661,-2.61090644258439,"Inverse",1.64219236817661,2.61090644258439,0.968714074407781,0.0227933223161107,0.00244959088545689,9.30495065581509,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.61090644258439
"OA+Bleaching vs OA_139","OA+Bleaching vs OA","Ofaveolata029525",-1.85263283831004,NA,"Interferon induced with helicase C domain 1","RNA processing and modification",-1.85263283831004,1.54631253378267,"Inverse",1.85263283831004,1.54631253378267,0.306320304527371,0.0140400017423715,0.0284241486825124,2.02451176318096,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,1.54631253378267
"OA+Bleaching vs OA_140","OA+Bleaching vs OA","Ofaveolata029693",-3.6889655418075,NA,NA,NA,-3.6889655418075,1.00749605315223,"Inverse",3.6889655418075,1.00749605315223,2.68146948865526,0.000204660701406023,0.098288780539746,480.252338941966,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,1.00749605315223
"OA+Bleaching vs OA_141","OA+Bleaching vs OA","Ofaveolata029779",1.05542800490367,NA,NA,NA,1.05542800490367,-2.75097534457865,"Inverse",1.05542800490367,2.75097534457865,1.69554733967498,0.0880181011456178,0.0017742902066252,49.6074998424486,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.75097534457865
"OA+Bleaching vs OA_142","OA+Bleaching vs OA","Ofaveolata029819",1.21830185912115,NA,"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway","Intracellular trafficking, secretion, and vesicular transport",1.21830185912115,-3.74584369932424,"Inverse",1.21830185912115,3.74584369932424,2.52754184020309,0.0604920274944887,0.000179537965982407,336.931674387,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-3.74584369932424
"OA+Bleaching vs OA_143","OA+Bleaching vs OA","Ofaveolata030220",-1.73758822132899,NA,"thioesterase binding","Signal transduction mechanisms",-1.73758822132899,4.61457291931826,"Inverse",1.73758822132899,4.61457291931826,2.87698469798927,0.0182983436127795,2.42899757195813e-05,753.329020334442,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,4.61457291931826
"OA+Bleaching vs OA_144","OA+Bleaching vs OA","Ofaveolata030360",1.30000042900295,NA,NA,NA,1.30000042900295,-1.57848279661223,"Inverse",1.30000042900295,1.57848279661223,0.278482367609281,0.0501186738546846,0.0263947287579187,1.89881374854623,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.57848279661223
"OA+Bleaching vs OA_145","OA+Bleaching vs OA","Ofaveolata030362",1.54580718886594,NA,NA,NA,1.54580718886594,-5.64766271403654,"Inverse",1.54580718886594,5.64766271403654,4.1018555251706,0.0284572422627039,2.2508019667239e-06,12643.1568318399,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-5.64766271403654
"OA+Bleaching vs OA_146","OA+Bleaching vs OA","Ofaveolata030363",1.00026781689659,NA,NA,NA,1.00026781689659,-1.01263742276394,"Inverse",1.00026781689659,1.01263742276394,0.0123696058673575,0.0999383518908872,0.097132055030651,1.02889156272201,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.01263742276394
"OA+Bleaching vs OA_147","OA+Bleaching vs OA","Ofaveolata031084",2.14457504219313,NA,"Carboxypeptidase","Posttranslational modification, protein turnover, chaperones",2.14457504219313,-2.6268767301248,"Inverse",2.14457504219313,2.6268767301248,0.482301687931672,0.0071684450057512,0.00236114832494654,3.03599944569917,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.6268767301248
"OA+Bleaching vs OA_148","OA+Bleaching vs OA","Ofaveolata031645",4.63874669409802,NA,NA,NA,4.63874669409802,-1.51616250355089,"Inverse",4.63874669409802,1.51616250355089,3.12258419054713,2.2974882867247e-05,0.030467547469432,1326.12416983707,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.51616250355089
"OA+Bleaching vs OA_149","OA+Bleaching vs OA","Ofaveolata031675",1.17301680128521,NA,NA,NA,1.17301680128521,-4.37096896011961,"Inverse",1.17301680128521,4.37096896011961,3.1979521588344,0.0671402878270682,4.25628832576058e-05,1577.43749220914,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-4.37096896011961
"OA+Bleaching vs OA_150","OA+Bleaching vs OA","Ofaveolata032312",1.23121992108988,NA,NA,NA,1.23121992108988,-4.60654781794144,"Inverse",1.23121992108988,4.60654781794144,3.37532789685156,0.058719193085698,2.47429901394131e-05,2373.16479353739,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-4.60654781794144
"OA+Bleaching vs OA_151","OA+Bleaching vs OA","Ofaveolata032952",1.45103176532481,NA,"GPCR-Autoproteolysis INducing (GAIN) domain","Signal transduction mechanisms",1.45103176532481,-5.93324158679301,"Inverse",1.45103176532481,5.93324158679301,4.4822098214682,0.0353971449828162,1.16616073153091e-06,30353.5730759409,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-5.93324158679301
"OA+Bleaching vs OA_152","OA+Bleaching vs OA","Ofaveolata033040",-1.22881183600317,NA,"basic region leucin zipper","Transcription",-1.22881183600317,1.94715008357461,"Inverse",1.22881183600317,1.94715008357461,0.718338247571436,0.0590456848228397,0.0112940554702839,5.22803212523585,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,1.94715008357461
